event_id,ticker,date,event_day,abnormal_return
AAPL_2005-07-13,AAPL,2005-07-05,-8,0.026191115648315916
AAPL_2005-07-13,AAPL,2005-07-06,-7,-0.006099388687535817
AAPL_2005-07-13,AAPL,2005-07-07,-6,-0.006843460970469248
AAPL_2005-07-13,AAPL,2005-07-08,-5,-0.011699000094464701
AAPL_2005-07-13,AAPL,2005-07-11,-2,-0.02778789403739608
AAPL_2005-07-13,AAPL,2005-07-12,-1,8.5148305142441e-05
AAPL_2005-07-13,AAPL,2005-07-13,0,-0.0013345099358840645
AAPL_2005-07-13,AAPL,2005-07-14,1,0.057588087175076796
AAPL_2005-07-13,AAPL,2005-07-15,2,0.009757380785867607
AAPL_2005-07-13,AAPL,2005-07-18,5,0.009849312697309064
AAPL_2005-07-13,AAPL,2005-07-19,6,0.01531935471621318
AAPL_2005-07-13,AAPL,2005-07-20,7,-0.0007748086109046863
AAPL_2005-07-13,AAPL,2005-07-21,8,0.0016282412878266773
AAPL_2005-07-13,AAPL,2005-07-22,9,0.011427593093815849
AAPL_2005-07-13,AAPL,2005-07-25,12,0.004307692446161937
AAPL_2005-07-13,AAPL,2005-07-26,13,-0.00849273578938709
AAPL_2005-07-13,AAPL,2005-07-27,14,-0.0028921689720131883
AAPL_2005-07-13,AAPL,2005-07-28,15,-0.01733582350477176
AAPL_2005-07-13,AAPL,2005-07-29,16,-0.01453915138177892
AAPL_2005-07-13,AAPL,2005-08-01,19,-0.002962218595063567
AAPL_2005-07-13,AAPL,2005-08-02,20,-0.01338907780933957
AAPL_2005-10-11,AAPL,2005-10-03,-8,0.011608360124919318
AAPL_2005-10-11,AAPL,2005-10-04,-7,0.004168114090433694
AAPL_2005-10-11,AAPL,2005-10-05,-6,0.018109219027689645
AAPL_2005-10-11,AAPL,2005-10-06,-5,-0.0035538541891712086
AAPL_2005-10-11,AAPL,2005-10-07,-4,-0.017475984982657084
AAPL_2005-10-11,AAPL,2005-10-10,-1,-0.005931974147483468
AAPL_2005-10-11,AAPL,2005-10-11,0,0.0389645360363676
AAPL_2005-10-11,AAPL,2005-10-12,1,-0.020910110075498835
AAPL_2005-10-11,AAPL,2005-10-13,2,0.08065387094556907
AAPL_2005-10-11,AAPL,2005-10-14,3,-0.012758189328474372
AAPL_2005-10-11,AAPL,2005-10-17,6,-0.016301720221669057
AAPL_2005-10-11,AAPL,2005-10-18,7,-0.012808605697744443
AAPL_2005-10-11,AAPL,2005-10-19,8,0.018545685819643214
AAPL_2005-10-11,AAPL,2005-10-20,9,0.04727110656990134
AAPL_2005-10-11,AAPL,2005-10-21,10,-0.024312046861610724
AAPL_2005-10-11,AAPL,2005-10-24,13,-0.013109352788310987
AAPL_2005-10-11,AAPL,2005-10-25,14,-0.009272333132575701
AAPL_2005-10-11,AAPL,2005-10-26,15,0.028417050021952307
AAPL_2005-10-11,AAPL,2005-10-27,16,0.004868679058854613
AAPL_2005-10-11,AAPL,2005-10-28,17,-0.041260724832341764
AAPL_2005-10-11,AAPL,2005-10-31,20,0.026413872423519922
AAPL_2006-01-18,AAPL,2006-01-09,-9,-0.016984275698751137
AAPL_2006-01-18,AAPL,2006-01-10,-8,0.05675271964019092
AAPL_2006-01-18,AAPL,2006-01-11,-7,0.0261301882808753
AAPL_2006-01-18,AAPL,2006-01-12,-6,0.008255781701343456
AAPL_2006-01-18,AAPL,2006-01-13,-5,0.011705803102239485
AAPL_2006-01-18,AAPL,2006-01-17,-1,-0.005032804242637602
AAPL_2006-01-18,AAPL,2006-01-18,0,-0.01581001376320658
AAPL_2006-01-18,AAPL,2006-01-19,1,-0.06357614306666763
AAPL_2006-01-18,AAPL,2006-01-20,2,-0.0042813695489159545
AAPL_2006-01-18,AAPL,2006-01-23,5,0.013184785059453977
AAPL_2006-01-18,AAPL,2006-01-24,6,-0.03410823747178418
AAPL_2006-01-18,AAPL,2006-01-25,7,-0.027313083717007285
AAPL_2006-01-18,AAPL,2006-01-26,8,-0.04616948819363012
AAPL_2006-01-18,AAPL,2006-01-27,9,-0.022734484357659533
