fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,symbol
30/09/2025,30/10/2025,1.85,1.76,0.09,5.1136,post-market,AAPL
30/06/2025,31/07/2025,1.57,1.43,0.14,9.7902,post-market,AAPL
31/03/2025,01/05/2025,1.65,1.62,0.03,1.8519,post-market,AAPL
31/12/2024,30/01/2025,2.4,2.34,0.06,2.5641,post-market,AAPL
30/09/2024,31/10/2024,0.97,0.95,0.02,2.1053,post-market,AAPL
30/06/2024,01/08/2024,1.4,1.34,0.06,4.4776,post-market,AAPL
31/03/2024,02/05/2024,1.53,1.5,0.03,2,post-market,AAPL
31/12/2023,01/02/2024,2.18,2.11,0.07,3.3175,post-market,AAPL
30/09/2023,02/11/2023,1.46,1.39,0.07,5.036,post-market,AAPL
30/06/2023,03/08/2023,1.26,1.19,0.07,5.8824,post-market,AAPL
31/03/2023,04/05/2023,1.52,1.43,0.09,6.2937,post-market,AAPL
31/12/2022,02/02/2023,1.88,1.95,-0.07,-3.5897,post-market,AAPL
30/09/2022,27/10/2022,1.29,1.27,0.02,1.5748,post-market,AAPL
30/06/2022,28/07/2022,1.2,1.15,0.05,4.3478,post-market,AAPL
31/03/2022,28/04/2022,1.52,1.43,0.09,6.2937,post-market,AAPL
31/12/2021,27/01/2022,2.1,1.89,0.21,11.1111,post-market,AAPL
30/09/2021,28/10/2021,1.24,1.24,0,0,post-market,AAPL
30/06/2021,27/07/2021,1.3,1.01,0.29,28.7129,post-market,AAPL
31/03/2021,28/04/2021,1.4,0.98,0.42,42.8571,post-market,AAPL
31/12/2020,27/01/2021,1.68,1.42,0.26,18.3099,post-market,AAPL
30/09/2020,29/10/2020,0.73,0.7,0.03,4.2857,post-market,AAPL
30/06/2020,30/07/2020,0.65,0.51,0.14,27.451,post-market,AAPL
31/03/2020,30/04/2020,0.64,0.56,0.08,14.2857,post-market,AAPL
31/12/2019,28/01/2020,1.25,1.14,0.11,9.6491,post-market,AAPL
30/09/2019,30/10/2019,0.76,0.71,0.05,7.0423,post-market,AAPL
30/06/2019,30/07/2019,0.55,0.53,0.02,3.7736,post-market,AAPL
31/03/2019,30/04/2019,0.62,0.59,0.03,5.0847,post-market,AAPL
31/12/2018,29/01/2019,1.05,1.04,0.01,0.9615,post-market,AAPL
30/09/2018,01/11/2018,0.73,0.7,0.03,4.2857,post-market,AAPL
30/06/2018,31/07/2018,0.585,0.545,0.04,7.3394,post-market,AAPL
31/03/2018,01/05/2018,0.6825,0.6725,0.01,1.487,post-market,AAPL
31/12/2017,01/02/2018,0.9725,0.965,0.0075,0.7772,post-market,AAPL
30/09/2017,02/11/2017,0.5175,0.4675,0.05,10.6952,post-market,AAPL
30/06/2017,01/08/2017,0.4175,0.3925,0.025,6.3694,post-market,AAPL
31/03/2017,02/05/2017,0.525,0.505,0.02,3.9604,post-market,AAPL
31/12/2016,31/01/2017,0.84,0.8025,0.0375,4.6729,post-market,AAPL
30/09/2016,25/10/2016,0.4175,0.415,0.0025,0.6024,post-market,AAPL
30/06/2016,26/07/2016,0.355,0.345,0.01,2.8986,post-market,AAPL
31/03/2016,26/04/2016,0.475,0.5,-0.025,-5,post-market,AAPL
31/12/2015,26/01/2016,0.82,0.8075,0.0125,1.548,post-market,AAPL
30/09/2015,27/10/2015,0.49,0.47,0.02,4.2553,post-market,AAPL
30/06/2015,21/07/2015,0.4625,0.4525,0.01,2.2099,post-market,AAPL
31/03/2015,27/04/2015,0.5825,0.54,0.0425,7.8704,post-market,AAPL
31/12/2014,27/01/2015,0.765,0.65,0.115,17.6923,post-market,AAPL
30/09/2014,20/10/2014,0.355,0.3275,0.0275,8.3969,post-market,AAPL
30/06/2014,22/07/2014,0.32,0.3075,0.0125,4.065,post-market,AAPL
31/03/2014,23/04/2014,0.415,0.365,0.05,13.6986,post-market,AAPL
31/12/2013,27/01/2014,0.5175,0.5025,0.015,2.9851,post-market,AAPL
30/09/2013,28/10/2013,0.295,0.285,0.01,3.5088,post-market,AAPL
30/06/2013,23/07/2013,0.2675,0.2625,0.005,1.9048,post-market,AAPL
31/03/2013,23/04/2013,0.36,0.3575,0.0025,0.6993,post-market,AAPL
31/12/2012,23/01/2013,0.4925,0.48,0.0125,2.6042,post-market,AAPL
30/09/2012,25/10/2012,0.31,0.3125,-0.0025,-0.8,post-market,AAPL
30/06/2012,24/07/2012,0.3325,0.37,-0.0375,-10.1351,post-market,AAPL
31/03/2012,24/04/2012,0.44,0.3575,0.0825,23.0769,post-market,AAPL
31/12/2011,24/01/2012,0.495,0.3625,0.1325,36.5517,post-market,AAPL
30/09/2011,18/10/2011,0.2525,0.265,-0.0125,-4.717,post-market,AAPL
30/06/2011,19/07/2011,0.2775,0.2075,0.07,33.7349,post-market,AAPL
31/03/2011,20/04/2011,0.2275,0.1925,0.035,18.1818,post-market,AAPL
31/12/2010,18/01/2011,0.23,0.1925,0.0375,19.4805,post-market,AAPL
30/09/2010,18/10/2010,0.165,0.145,0.02,13.7931,post-market,AAPL
30/06/2010,20/07/2010,0.125,0.11,0.015,13.6364,post-market,AAPL
31/03/2010,20/04/2010,0.12,0.0875,0.0325,37.1429,post-market,AAPL
31/12/2009,25/01/2010,0.13,0.075,0.055,73.3333,post-market,AAPL
30/09/2009,19/10/2009,0.065,0.05,0.015,30,post-market,AAPL
30/06/2009,21/07/2009,0.0475,0.0425,0.005,11.7647,post-market,AAPL
31/03/2009,22/04/2009,0.0475,0.04,0.0075,18.75,post-market,AAPL
31/12/2008,21/01/2009,0.0625,0.05,0.0125,25,post-market,AAPL
30/09/2008,21/10/2008,0.045,0.04,0.005,12.5,post-market,AAPL
30/06/2008,21/07/2008,0.0425,0.0375,0.005,13.3333,post-market,AAPL
31/03/2008,23/04/2008,0.0425,0.0375,0.005,13.3333,post-market,AAPL
31/12/2007,22/01/2008,0.06,0.06,0,0,post-market,AAPL
30/09/2007,22/10/2007,0.04,0.03,0.01,33.3333,post-market,AAPL
30/06/2007,25/07/2007,0.03,0.03,0,0,post-market,AAPL
31/03/2007,25/04/2007,0.03,0.02,0.01,50,post-market,AAPL
31/12/2006,17/01/2007,0.04,0.03,0.01,33.3333,post-market,AAPL
30/09/2006,18/10/2006,0.02,0.02,0,0,post-market,AAPL
30/06/2006,19/07/2006,0.02,0.02,0,0,post-market,AAPL
31/03/2006,19/04/2006,0.02,0.02,0,0,post-market,AAPL
31/12/2005,18/01/2006,0.02,0.02,0,0,post-market,AAPL
30/09/2005,11/10/2005,0.01,0.01,0,0,post-market,AAPL
30/06/2005,13/07/2005,0.01,0.01,0,0,post-market,AAPL
31/03/2005,13/04/2005,0.01,0.01,0,0,post-market,AAPL
30/09/2025,29/10/2025,2.87,2.32,0.55,23.7069,post-market,GOOGL
30/06/2025,23/07/2025,2.31,2.19,0.12,5.4795,post-market,GOOGL
31/03/2025,24/04/2025,2.81,2.01,0.8,39.801,post-market,GOOGL
31/12/2024,04/02/2025,2.15,2.13,0.02,0.939,post-market,GOOGL
30/09/2024,29/10/2024,2.12,1.85,0.27,14.5946,post-market,GOOGL
30/06/2024,23/07/2024,1.89,1.85,0.04,2.1622,post-market,GOOGL
31/03/2024,25/04/2024,1.89,1.51,0.38,25.1656,post-market,GOOGL
31/12/2023,30/01/2024,1.64,1.6,0.04,2.5,post-market,GOOGL
30/09/2023,24/10/2023,1.55,1.45,0.1,6.8966,post-market,GOOGL
30/06/2023,25/07/2023,1.44,1.34,0.1,7.4627,post-market,GOOGL
31/03/2023,25/04/2023,1.17,1.07,0.1,9.3458,post-market,GOOGL
31/12/2022,02/02/2023,1.05,1.19,-0.14,-11.7647,post-market,GOOGL
30/09/2022,25/10/2022,1.06,1.25,-0.19,-15.2,post-market,GOOGL
30/06/2022,26/07/2022,1.21,1.27,-0.06,-4.7244,post-market,GOOGL
31/03/2022,26/04/2022,1.23,1.29,-0.06,-4.6512,post-market,GOOGL
31/12/2021,01/02/2022,1.53,1.36,0.17,12.5,post-market,GOOGL
30/09/2021,26/10/2021,1.4,1.17,0.23,19.6581,post-market,GOOGL
30/06/2021,27/07/2021,1.36,0.96,0.4,41.6667,post-market,GOOGL
31/03/2021,27/04/2021,1.31,0.78,0.53,67.9487,post-market,GOOGL
31/12/2020,02/02/2021,1.12,0.79,0.33,41.7722,post-market,GOOGL
30/09/2020,29/10/2020,0.82,0.56,0.26,46.4286,post-market,GOOGL
30/06/2020,30/07/2020,0.51,0.41,0.1,24.3902,post-market,GOOGL
31/03/2020,28/04/2020,0.49,0.51,-0.02,-3.9216,post-market,GOOGL
31/12/2019,03/02/2020,0.7675,0.6265,0.141,22.506,post-market,GOOGL
30/09/2019,28/10/2019,0.506,0.621,-0.115,-18.5185,post-market,GOOGL
30/06/2019,25/07/2019,0.7105,0.565,0.1455,25.7522,post-market,GOOGL
31/03/2019,29/04/2019,0.475,0.5305,-0.0555,-10.4618,post-market,GOOGL
31/12/2018,04/02/2019,0.6385,0.541,0.0975,18.0222,post-market,GOOGL
30/09/2018,25/10/2018,0.653,0.521,0.132,25.3359,post-market,GOOGL
30/06/2018,23/07/2018,0.227,0.4795,-0.2525,-52.659,post-market,GOOGL
31/03/2018,23/04/2018,0.6665,0.464,0.2025,43.6422,post-market,GOOGL
31/12/2017,01/02/2018,0.485,0.499,-0.014,-2.8056,post-market,GOOGL
30/09/2017,26/10/2017,0.4785,0.4165,0.062,14.886,post-market,GOOGL
30/06/2017,24/07/2017,0.2505,0.2245,0.026,11.5813,post-market,GOOGL
31/03/2017,27/04/2017,0.3865,0.3695,0.017,4.6008,post-market,GOOGL
31/12/2016,26/01/2017,0.468,0.4825,-0.0145,-3.0052,post-market,GOOGL
30/09/2016,27/10/2016,0.453,0.4315,0.0215,4.9826,post-market,GOOGL
30/06/2016,28/07/2016,0.421,0.402,0.019,4.7264,post-market,GOOGL
31/03/2016,21/04/2016,0.375,0.3985,-0.0235,-5.8971,post-market,GOOGL
31/12/2015,01/02/2016,0.4335,0.4055,0.028,6.9051,post-market,GOOGL
30/09/2015,22/10/2015,0.3675,0.3605,0.007,1.9417,post-market,GOOGL
30/06/2015,16/07/2015,0.3495,0.335,0.0145,4.3284,post-market,GOOGL
31/03/2015,23/04/2015,0.3285,0.33,-0.0015,-0.4545,post-market,GOOGL
31/12/2014,29/01/2015,0.344,0.3555,-0.0115,-3.2349,post-market,GOOGL
30/09/2014,16/10/2014,0.3175,0.3265,-0.009,-2.7565,post-market,GOOGL
30/06/2014,17/07/2014,0.304,0.312,-0.008,-2.5641,pre-market,GOOGL
31/03/2014,16/04/2014,0.3135,0.3205,-0.007,-2.1841,pre-market,GOOGL
31/12/2013,30/01/2014,0.3005,0.305,-0.0045,-1.4754,pre-market,GOOGL
30/09/2013,17/10/2013,0.2685,0.2585,0.01,3.8685,pre-market,GOOGL
30/06/2013,18/07/2013,0.239,0.2695,-0.0305,-11.3173,pre-market,GOOGL
31/03/2013,18/04/2013,0.2895,0.2665,0.023,8.6304,pre-market,GOOGL
31/12/2012,22/01/2013,0.265,0.2605,0.0045,1.7274,pre-market,GOOGL
30/09/2012,18/10/2012,0.2255,0.2665,-0.041,-15.3846,pre-market,GOOGL
30/06/2012,19/07/2012,0.253,0.251,0.002,0.7968,pre-market,GOOGL
31/03/2012,12/04/2012,0.252,0.2415,0.0105,4.3478,pre-market,GOOGL
31/12/2011,19/01/2012,0.2375,0.2625,-0.025,-9.5238,pre-market,GOOGL
30/09/2011,13/10/2011,0.243,0.2185,0.0245,11.2128,pre-market,GOOGL
30/06/2011,14/07/2011,0.2185,0.1965,0.022,11.1959,pre-market,GOOGL
