Ticker,Earnings Date,Surprise,CAR,Regime,VIX,Δ10Y
GOOGL,2005-04-21,0.0095,0.0006348236134996,0,14.41,0.0359712230215827
NVDA,2005-05-12,0.004,0.0263930188044408,0,16.12,0.0270270270270269
AAPL,2005-07-13,0.0,0.0017726800112134,0,10.84,-0.047945205479452
GOOGL,2005-07-21,0.0035,0.0063942323996633,0,10.97,-0.0092592592592593
NVDA,2005-08-11,0.0,0.0021379001035061,0,12.42,0.0334928229665072
AAPL,2005-10-11,0.0,0.0422941970206514,0,15.63,0.0578313253012046
GOOGL,2005-10-20,0.004,-0.0133512749937834,0,16.11,0.0420560747663549
NVDA,2005-11-09,0.001,0.0394770391190814,0,12.8,0.0545454545454544
AAPL,2006-01-18,0.0,-0.0159013261606614,0,12.25,-0.0290827740492169
GOOGL,2006-01-31,-0.0055,0.0107713716578259,0,12.95,-0.0109170305676855
NVDA,2006-02-16,0.0,0.0349604816535426,0,11.48,0.0291479820627802
AAPL,2006-04-19,0.0,-0.0176385112096655,0,11.32,0.1612903225806452
GOOGL,2006-04-20,0.008,0.0196406212753495,0,11.64,0.1506849315068492
NVDA,2006-05-11,0.0,-0.0040796007569869,0,12.49,0.1321585903083699
AAPL,2006-07-19,0.0,-0.0037529257141323,0,15.55,0.0039682539682539
GOOGL,2006-07-20,0.007,-0.0086489351642362,0,16.21,-0.0019841269841269
NVDA,2006-08-10,0.0,-0.0172442507782877,0,14.46,-0.0408560311284046
AAPL,2006-10-18,0.0,0.0051583421039652,0,11.34,-0.0573122529644268
GOOGL,2006-10-19,0.005,0.0149612994119596,0,10.9,-0.047713717693837
NVDA,2006-11-09,0.001,0.0287444568658201,0,11.01,-0.0628803245436104
AAPL,2007-01-17,0.01,-0.0149762758792143,0,10.59,0.0041928721174004
GOOGL,2007-01-31,0.0065,0.0075350712915478,0,10.42,0.0568927789934354
NVDA,2007-02-13,0.002,0.0107832133304622,0,10.34,0.0547045951859956
GOOGL,2007-04-19,0.0095,-0.0057858604941569,0,12.54,-0.0147368421052632
AAPL,2007-04-25,0.01,0.0097394173816988,0,13.21,-0.0311850311850311
NVDA,2007-05-10,0.001,0.0148904181271719,0,13.6,-0.0169133192389006
GOOGL,2007-07-19,-0.001,-0.0092922817001991,0,15.23,0.0769230769230771
AAPL,2007-07-25,0.0,0.0116250748049298,0,18.1,0.055793991416309
NVDA,2007-08-09,0.002,0.042732370902542,0,26.48,0.0301075268817203
GOOGL,2007-10-18,0.0035,0.0074759038334926,0,18.5,-0.1031746031746032
AAPL,2007-10-22,0.01,0.0068056523815703,0,21.64,-0.1106639839034204
NVDA,2007-11-08,0.002,-0.0372620755829386,0,26.16,-0.1064718162839247
AAPL,2008-01-22,0.0,-0.008593486262533,1,31.01,-0.2018140589569161
GOOGL,2008-01-31,0.0,0.0093597524435503,0,26.2,-0.158256880733945
NVDA,2008-02-13,0.0,-0.0062473068518838,0,24.88,-0.1355140186915887
GOOGL,2008-04-17,0.008,-0.0065476914014594,0,20.37,0.0245901639344261
AAPL,2008-04-23,0.005,0.0015755620442806,0,20.26,0.0740740740740741
NVDA,2008-05-08,-0.001,-0.0096556387568585,0,19.4,0.0133689839572193
GOOGL,2008-07-17,-0.0025,-0.0163317294346525,0,25.01,0.0853333333333334
AAPL,2008-07-21,0.005,0.0078990007766047,0,23.05,0.0906666666666666
NVDA,2008-08-12,0.0,-0.0007782615647252,0,21.17,0.0025641025641025
GOOGL,2008-10-16,0.0045,-0.0128390261456115,1,67.61,-0.0196560196560197
AAPL,2008-10-21,0.005,-0.0215700286007868,1,53.11,-0.0917874396135265
NVDA,2008-11-06,0.002,-0.0493324871247943,1,63.68,-0.0433673469387755
AAPL,2009-01-21,0.0125,0.0115974479861607,1,46.42,-0.2986301369863013
GOOGL,2009-01-22,0.0035,0.0390067612622004,1,47.29,-0.2782369146005509
NVDA,2009-02-10,-0.002,0.0112751125353113,1,46.67,-0.2408376963350785
GOOGL,2009-04-16,0.006,-0.0005566307093122,2,35.79,0.2825112107623317
AAPL,2009-04-22,0.0075,-0.0039838588987522,2,38.1,0.1640625
NVDA,2009-05-07,0.001,-0.0441004400446175,2,33.44,0.1152542372881355
GOOGL,2009-07-16,0.007,-0.0017595067515378,2,25.42,0.2552447552447552
AAPL,2009-07-21,0.005,-0.0155178349254706,2,23.87,0.1904761904761904
NVDA,2009-08-06,0.003,-0.0063167472888702,2,25.67,0.1519756838905774
GOOGL,2009-10-15,0.012,-0.0106211106367456,0,21.72,-0.0278551532033425
AAPL,2009-10-19,0.015,-0.0004937894873624,0,21.49,-0.0554016620498614
NVDA,2009-11-05,0.002,-0.0171332051801174,0,25.43,-0.0580474934036939
GOOGL,2010-01-21,0.008,0.0107892681508885,0,22.27,0.0523255813953489
AAPL,2010-01-25,0.055,0.0229270178438525,0,25.41,0.0194986072423399
NVDA,2010-02-17,0.001,0.0010899395120539,0,21.72,0.1130952380952381
GOOGL,2010-04-15,0.004,0.0075672874473491,0,15.89,0.0265957446808511
AAPL,2010-04-20,0.0325,-0.0203595598748034,0,15.73,0.0241286863270777
NVDA,2010-05-13,0.001,0.0179879516835574,0,26.68,-0.0482573726541555
GOOGL,2010-07-15,-0.0015,0.0073571032874835,0,25.14,-0.2227979274611399
AAPL,2010-07-20,0.015,0.010355296426464,0,23.93,-0.2198952879581152
