ticker,event_date,surprise,regime,VIX
GOOGL,2005-04-21,0.0095,0,14.41
NVDA,2005-05-12,0.004,0,16.12
AAPL,2005-07-13,0.0,0,10.84
GOOGL,2005-07-21,0.0035,0,10.97
NVDA,2005-08-11,0.0,0,12.42
AAPL,2005-10-11,0.0,0,15.63
GOOGL,2005-10-20,0.004,0,16.11
NVDA,2005-11-09,0.001,0,12.8
AAPL,2006-01-18,0.0,0,12.25
GOOGL,2006-01-31,-0.0055,0,12.95
NVDA,2006-02-16,0.0,0,11.48
AAPL,2006-04-19,0.0,0,11.32
GOOGL,2006-04-20,0.008,0,11.64
NVDA,2006-05-11,0.0,0,12.49
AAPL,2006-07-19,0.0,0,15.55
GOOGL,2006-07-20,0.007,0,16.21
NVDA,2006-08-10,0.0,0,14.46
AAPL,2006-10-18,0.0,0,11.34
GOOGL,2006-10-19,0.005,0,10.9
NVDA,2006-11-09,0.001,0,11.01
AAPL,2007-01-17,0.01,0,10.59
GOOGL,2007-01-31,0.0065,0,10.42
NVDA,2007-02-13,0.002,0,10.34
GOOGL,2007-04-19,0.0095,0,12.54
AAPL,2007-04-25,0.01,0,13.21
NVDA,2007-05-10,0.001,0,13.6
GOOGL,2007-07-19,-0.001,0,15.23
AAPL,2007-07-25,0.0,0,18.1
NVDA,2007-08-09,0.002,0,26.48
GOOGL,2007-10-18,0.0035,0,18.5
AAPL,2007-10-22,0.01,0,21.64
NVDA,2007-11-08,0.002,0,26.16
AAPL,2008-01-22,0.0,1,31.01
GOOGL,2008-01-31,0.0,0,26.2
NVDA,2008-02-13,0.0,0,24.88
GOOGL,2008-04-17,0.008,0,20.37
AAPL,2008-04-23,0.005,0,20.26
NVDA,2008-05-08,-0.001,0,19.4
GOOGL,2008-07-17,-0.0025,0,25.01
AAPL,2008-07-21,0.005,0,23.05
NVDA,2008-08-12,0.0,0,21.17
GOOGL,2008-10-16,0.0045,1,67.61
AAPL,2008-10-21,0.005,1,53.11
NVDA,2008-11-06,0.002,1,63.68
AAPL,2009-01-21,0.0125,1,46.42
GOOGL,2009-01-22,0.0035,1,47.29
NVDA,2009-02-10,-0.002,1,46.67
GOOGL,2009-04-16,0.006,2,35.79
AAPL,2009-04-22,0.0075,2,38.1
NVDA,2009-05-07,0.001,2,33.44
GOOGL,2009-07-16,0.007,2,25.42
AAPL,2009-07-21,0.005,2,23.87
NVDA,2009-08-06,0.003,2,25.67
GOOGL,2009-10-15,0.012,0,21.72
AAPL,2009-10-19,0.015,0,21.49
NVDA,2009-11-05,0.002,0,25.43
GOOGL,2010-01-21,0.008,0,22.27
AAPL,2010-01-25,0.055,0,25.41
NVDA,2010-02-17,0.001,0,21.72
GOOGL,2010-04-15,0.004,0,15.89
AAPL,2010-04-20,0.0325,0,15.73
NVDA,2010-05-13,0.001,0,26.68
GOOGL,2010-07-15,-0.0015,0,25.14
AAPL,2010-07-20,0.015,0,23.93
NVDA,2010-08-12,-0.002,0,25.73
GOOGL,2010-10-14,0.0235,0,19.88
AAPL,2010-10-18,0.02,0,19.09
NVDA,2010-11-11,0.0,0,18.64
AAPL,2011-01-18,0.0375,2,15.87
GOOGL,2011-01-20,0.0165,2,17.99
NVDA,2011-02-16,0.002,2,16.72
GOOGL,2011-04-14,-0.0005,0,16.27
AAPL,2011-04-20,0.035,0,15.07
NVDA,2011-05-12,0.001,0,16.03
GOOGL,2011-07-14,0.022,0,20.8
AAPL,2011-07-19,0.07,0,19.21
NVDA,2011-08-11,0.0,1,39.0
GOOGL,2011-10-13,0.0245,1,30.7
AAPL,2011-10-18,-0.0125,1,31.56
NVDA,2011-11-10,0.001,1,32.81
GOOGL,2012-01-19,-0.025,0,19.87
AAPL,2012-01-24,0.1325,0,18.91
NVDA,2012-02-15,0.0,0,21.14
GOOGL,2012-04-12,0.0105,0,17.2
AAPL,2012-04-24,0.0825,0,18.1
NVDA,2012-05-11,0.001,0,19.89
GOOGL,2012-07-19,0.002,0,15.45
AAPL,2012-07-24,-0.0375,0,20.47
NVDA,2012-08-09,0.002,0,15.28
GOOGL,2012-10-18,-0.041,2,15.03
AAPL,2012-10-25,-0.0025,2,18.12
NVDA,2012-11-08,0.001,0,18.49
GOOGL,2013-01-22,0.0045,0,12.43
AAPL,2013-01-23,0.0125,0,12.46
NVDA,2013-02-13,0.001,2,12.98
GOOGL,2013-04-18,0.023,0,17.56
AAPL,2013-04-23,0.0025,0,13.48
NVDA,2013-05-09,0.0025,0,13.13
GOOGL,2013-07-18,-0.0305,2,13.77
AAPL,2013-07-23,0.005,2,12.66
NVDA,2013-08-08,0.001,2,12.73
GOOGL,2013-10-17,0.01,0,13.48
AAPL,2013-10-28,0.01,0,13.31
NVDA,2013-11-07,0.0,0,13.91
AAPL,2014-01-27,0.015,0,17.42
GOOGL,2014-01-30,-0.0045,0,17.29
NVDA,2014-02-12,0.001,0,14.3
GOOGL,2014-04-16,-0.007,0,14.18
AAPL,2014-04-23,0.05,0,13.27
NVDA,2014-05-06,0.002,0,13.8
GOOGL,2014-07-17,-0.008,0,14.54
AAPL,2014-07-22,0.0125,0,12.24
NVDA,2014-08-07,0.001,0,16.66
GOOGL,2014-10-16,-0.009,0,25.2
AAPL,2014-10-20,0.0275,0,18.57
NVDA,2014-11-06,0.001,0,13.67
AAPL,2015-01-27,0.115,0,17.22
GOOGL,2015-01-29,-0.0115,0,18.76
NVDA,2015-02-11,0.002,0,16.96
GOOGL,2015-04-23,-0.0015,0,12.48
AAPL,2015-04-27,0.0425,0,13.12
NVDA,2015-05-07,0.0,2,15.13
GOOGL,2015-07-16,0.0145,2,12.11
AAPL,2015-07-21,0.01,2,12.22
NVDA,2015-08-06,0.001,0,13.77
GOOGL,2015-10-22,0.007,0,14.45
AAPL,2015-10-27,0.02,0,15.43
NVDA,2015-11-05,0.005,0,15.05
AAPL,2016-01-26,0.0125,0,22.5
GOOGL,2016-02-01,0.028,0,19.98
NVDA,2016-02-17,0.001,0,22.31
