ticker,date,open,high,low,close,volume,earnings_date,td_num,event_day
AAPL,2005-01-03,1.16,1.16,1.12,1.13,12382431,,0,
AAPL,2005-01-04,1.14,1.17,1.12,1.14,19608238,,1,
AAPL,2005-01-05,1.15,1.17,1.14,1.15,12157876,,2,
AAPL,2005-01-06,1.16,1.16,1.13,1.15,12604964,,3,
AAPL,2005-01-07,1.16,1.24,1.16,1.24,39923768,,4,
AAPL,2005-01-10,1.25,1.26,1.21,1.23,31018490,,5,
AAPL,2005-01-11,1.22,1.23,1.15,1.15,46716924,,6,
AAPL,2005-01-12,1.17,1.18,1.13,1.17,36249704,,7,
AAPL,2005-01-13,1.32,1.33,1.25,1.25,56600952,,8,
AAPL,2005-01-14,1.25,1.28,1.24,1.25,31631950,,9,
AAPL,2005-01-18,1.25,1.26,1.24,1.26,17993512,,10,
AAPL,2005-01-19,1.26,1.28,1.25,1.25,13521549,,11,
AAPL,2005-01-20,1.24,1.27,1.24,1.26,16349147,,12,
AAPL,2005-01-21,1.27,1.28,1.25,1.26,16288721,,13,
AAPL,2005-01-24,1.27,1.28,1.26,1.26,15066057,,14,
AAPL,2005-01-25,1.27,1.3,1.27,1.29,17327064,,15,
AAPL,2005-01-26,1.3,1.3,1.27,1.29,13293553,,16,
AAPL,2005-01-27,1.29,1.3,1.28,1.3,8870664,,17,
AAPL,2005-01-28,1.3,1.32,1.29,1.32,14324548,,18,
AAPL,2005-01-31,1.34,1.39,1.33,1.37,30079620,,19,
AAPL,2005-02-01,1.38,1.39,1.37,1.38,12140065,,20,
AAPL,2005-02-02,1.39,1.43,1.39,1.42,18296124,,21,
AAPL,2005-02-03,1.42,1.42,1.38,1.39,13089041,,22,
AAPL,2005-02-04,1.39,1.41,1.38,1.41,10065775,,23,
AAPL,2005-02-07,1.41,1.42,1.38,1.41,9399938,,24,
AAPL,2005-02-08,1.41,1.45,1.41,1.44,15899505,,25,
AAPL,2005-02-09,1.45,1.46,1.39,1.41,21323156,,26,
AAPL,2005-02-10,1.41,1.42,1.37,1.4,19529664,,27,
AAPL,2005-02-11,1.43,1.46,1.41,1.45,21475772,,28,
AAPL,2005-02-14,1.48,1.51,1.47,1.51,22724012,,29,
AAPL,2005-02-15,1.55,1.59,1.54,1.58,41489860,,30,
AAPL,2005-02-16,1.57,1.61,1.56,1.61,29289454,,31,
AAPL,2005-02-17,1.62,1.62,1.56,1.57,27169312,,32,
AAPL,2005-02-18,1.57,1.57,1.54,1.55,20786912,,33,
AAPL,2005-02-22,1.54,1.58,1.52,1.52,21788954,,34,
AAPL,2005-02-23,1.55,1.58,1.53,1.58,24031744,,35,
AAPL,2005-02-24,1.58,1.59,1.57,1.59,27248288,,36,
AAPL,2005-02-25,1.6,1.61,1.57,1.59,16356156,,37,
AAPL,2005-02-28,1.6,1.61,1.57,1.6,23325180,,38,
AAPL,2005-03-01,1.61,1.61,1.58,1.59,16765290,,39,
AAPL,2005-03-02,1.58,1.6,1.57,1.58,16374329,,40,
AAPL,2005-03-03,1.58,1.59,1.47,1.49,50455212,,41,
AAPL,2005-03-04,1.53,1.54,1.49,1.53,27022100,,42,
AAPL,2005-03-07,1.53,1.54,1.51,1.53,16108114,,43,
AAPL,2005-03-08,1.49,1.51,1.43,1.45,36481504,,44,
AAPL,2005-03-09,1.42,1.44,1.39,1.41,47234216,,45,
AAPL,2005-03-10,1.41,1.44,1.4,1.42,27764980,,46,
AAPL,2005-03-11,1.43,1.45,1.42,1.44,22601228,,47,
AAPL,2005-03-14,1.45,1.46,1.41,1.44,21621272,,48,
AAPL,2005-03-15,1.45,1.47,1.44,1.46,18297472,,49,
AAPL,2005-03-16,1.47,1.51,1.46,1.47,25003620,,50,
AAPL,2005-03-17,1.49,1.53,1.48,1.51,28678616,,51,
AAPL,2005-03-18,1.55,1.55,1.52,1.53,34887344,,52,
AAPL,2005-03-21,1.55,1.57,1.53,1.56,19330878,,53,
AAPL,2005-03-22,1.56,1.57,1.52,1.53,19708296,,54,
AAPL,2005-03-23,1.52,1.55,1.5,1.52,21810768,,55,
AAPL,2005-03-24,1.53,1.54,1.52,1.52,12616565,,56,
AAPL,2005-03-28,1.53,1.53,1.52,1.52,9917320,,57,
AAPL,2005-03-29,1.52,1.53,1.48,1.49,16539814,,58,
AAPL,2005-03-30,1.5,1.53,1.49,1.53,14134914,,59,
AAPL,2005-03-31,1.51,1.52,1.49,1.49,22749476,,60,
AAPL,2005-04-01,1.49,1.51,1.45,1.46,22951656,,61,
AAPL,2005-04-04,1.46,1.48,1.43,1.47,20723212,,62,
AAPL,2005-04-05,1.47,1.51,1.47,1.5,19949792,,63,
AAPL,2005-04-06,1.51,1.53,1.51,1.51,14847608,,64,
AAPL,2005-04-07,1.51,1.56,1.51,1.56,18141356,,65,
AAPL,2005-04-08,1.56,1.59,1.56,1.56,23231216,,66,
AAPL,2005-04-11,1.58,1.58,1.5,1.5,29432464,,67,
AAPL,2005-04-12,1.52,1.54,1.5,1.52,35120348,,68,
AAPL,2005-04-13,1.45,1.45,1.45,1.45,6400,,69,
AAPL,2005-04-14,1.39,1.43,1.32,1.33,98538512,,70,
AAPL,2005-04-15,1.31,1.33,1.26,1.26,61798220,,71,
AAPL,2005-04-18,1.25,1.3,1.21,1.27,47415192,,72,
AAPL,2005-04-19,1.3,1.34,1.28,1.32,38832928,,73,
AAPL,2005-04-20,1.35,1.35,1.27,1.27,34148904,,74,
AAPL,2005-04-21,1.29,1.33,1.28,1.33,27284472,,75,
AAPL,2005-04-22,1.32,1.32,1.25,1.27,29992444,,76,
AAPL,2005-04-25,1.3,1.3,1.3,1.3,2000,,77,
AAPL,2005-04-26,1.31,1.34,1.29,1.29,29075724,,78,
AAPL,2005-04-27,1.28,1.3,1.27,1.28,21950032,,79,
AAPL,2005-04-28,1.3,1.3,1.26,1.27,20616996,,80,
AAPL,2005-04-29,1.28,1.29,1.26,1.29,24010332,,81,
AAPL,2005-05-02,1.3,1.31,1.29,1.3,16651221,,82,
AAPL,2005-05-03,1.3,1.31,1.29,1.29,17753358,,83,
AAPL,2005-05-04,1.29,1.33,1.29,1.33,16400068,,84,
AAPL,2005-05-05,1.33,1.33,1.3,1.31,13853022,,85,
AAPL,2005-05-06,1.32,1.33,1.31,1.33,11663730,,86,
AAPL,2005-05-09,1.33,1.34,1.31,1.32,12704692,,87,
AAPL,2005-05-10,1.3,1.3,1.3,1.3,400,,88,
AAPL,2005-05-11,1.26,1.27,1.18,1.27,73270800,,89,
AAPL,2005-05-12,1.27,1.27,1.21,1.22,34684328,,90,
AAPL,2005-05-13,1.23,1.26,1.22,1.24,25190280,,91,
AAPL,2005-05-16,1.24,1.28,1.23,1.27,17054118,,92,
AAPL,2005-05-17,1.26,1.27,1.23,1.26,21079186,,93,
AAPL,2005-05-18,1.27,1.34,1.25,1.28,22747010,,94,
AAPL,2005-05-19,1.28,1.35,1.28,1.34,28386400,,95,
AAPL,2005-05-20,1.33,1.34,1.33,1.34,16181023,,96,
AAPL,2005-05-23,1.36,1.43,1.35,1.42,37295840,,97,
AAPL,2005-05-24,1.41,1.43,1.39,1.42,21231668,,98,
AAPL,2005-05-25,1.41,1.43,1.4,1.42,14835087,,99,
AAPL,2005-05-26,1.43,1.46,1.39,1.46,18780024,,100,
AAPL,2005-05-27,1.45,1.46,1.43,1.45,11291435,,101,
AAPL,2005-05-31,1.45,1.46,1.41,1.42,14470443,,102,
AAPL,2005-06-01,1.43,1.46,1.42,1.44,16264511,,103,
AAPL,2005-06-02,1.41,1.41,1.41,1.41,100,,104,
AAPL,2005-06-03,1.36,1.38,1.35,1.37,34199600,,105,
AAPL,2005-06-06,1.37,1.38,1.34,1.35,29011744,,106,
AAPL,2005-06-07,1.34,1.35,1.3,1.31,26680808,,107,
AAPL,2005-06-08,1.31,1.33,1.31,1.32,14760485,,108,
AAPL,2005-06-09,1.32,1.36,1.31,1.34,13954089,,109,
AAPL,2005-06-10,1.33,1.34,1.27,1.28,24260902,,110,
AAPL,2005-06-13,1.28,1.31,1.28,1.28,15571901,,111,
AAPL,2005-06-14,1.28,1.29,1.28,1.29,12612070,,112,
AAPL,2005-06-15,1.32,1.33,1.3,1.33,20241382,,113,
AAPL,2005-06-16,1.33,1.36,1.32,1.36,19797992,,114,
AAPL,2005-06-17,1.37,1.38,1.35,1.37,21479112,,115,
AAPL,2005-06-20,1.35,1.36,1.34,1.34,11618279,,116,
AAPL,2005-06-21,1.35,1.36,1.34,1.35,13256117,,117,
AAPL,2005-06-22,1.37,1.38,1.36,1.38,15346893,,118,
AAPL,2005-06-23,1.39,1.42,1.38,1.39,24097384,,119,
AAPL,2005-06-24,1.4,1.4,1.35,1.35,16506404,,120,
AAPL,2005-06-27,1.32,1.36,1.31,1.33,21489972,,121,
AAPL,2005-06-28,1.34,1.34,1.33,1.33,12558296,,122,
AAPL,2005-06-29,1.33,1.33,1.29,1.3,16243383,,123,
