ticker,smonth,oprice,cprice,svol
AAPL,1/1/1985,0.13,0.13,6366416000
AAPL,2/1/1985,0.13,0.11,4733388800
AAPL,3/1/1985,0.11,0.1,4615587200
AAPL,4/1/1985,0.1,0.09,2868028800
AAPL,5/1/1985,0.09,0.08,4639129600
AAPL,6/1/1985,0.08,0.08,5811388800
AAPL,7/1/1985,0.08,0.07,2600595200
AAPL,8/1/1985,0.07,0.07,1818745600
AAPL,9/1/1985,0.07,0.07,1797196800
AAPL,10/1/1985,0.07,0.08,3785913600
AAPL,11/1/1985,0.08,0.09,2884672000
AAPL,12/1/1985,0.09,0.1,3571209600
AAPL,1/1/1986,0.1,0.1,6291801600
AAPL,2/1/1986,0.1,0.11,3420860800
AAPL,3/1/1986,0.11,0.13,4264332800
AAPL,4/1/1986,0.13,0.14,4462684800
AAPL,5/1/1986,0.14,0.17,4954051200
AAPL,6/1/1986,0.17,0.16,4063360000
AAPL,7/1/1986,0.16,0.14,5691638400
AAPL,8/1/1986,0.14,0.17,3643516800
AAPL,9/1/1986,0.17,0.15,3578198400
AAPL,10/1/1986,0.15,0.15,2984038400
AAPL,11/1/1986,0.16,0.18,5206163200
AAPL,12/1/1986,0.18,0.18,4762576000
AAPL,1/1/1987,0.18,0.25,8268915200
AAPL,2/1/1987,0.25,0.31,6616176000
AAPL,3/1/1987,0.31,0.29,5959318400
AAPL,4/1/1987,0.28,0.35,6813161600
AAPL,5/1/1987,0.35,0.35,3838956800
AAPL,6/1/1987,0.35,0.36,3497536000
AAPL,7/1/1987,0.36,0.37,3070256000
AAPL,8/1/1987,0.37,0.48,3119300800
AAPL,9/1/1987,0.49,0.5,3075486400
AAPL,10/1/1987,0.51,0.34,6575699200
AAPL,11/1/1987,0.35,0.29,4234238400
AAPL,12/1/1987,0.3,0.38,4702264000
AAPL,1/1/1988,0.38,0.37,6221600000
AAPL,2/1/1988,0.37,0.38,3368467200
AAPL,3/1/1988,0.39,0.36,4882102400
AAPL,4/1/1988,0.35,0.37,3297929600
AAPL,5/1/1988,0.36,0.37,2638507200
AAPL,6/1/1988,0.37,0.41,3534731200
AAPL,7/1/1988,0.42,0.4,2186419200
AAPL,8/1/1988,0.4,0.36,2653313600
AAPL,9/1/1988,0.35,0.39,3060321600
AAPL,10/1/1988,0.38,0.34,3563649600
AAPL,11/1/1988,0.34,0.34,2939865600
AAPL,12/1/1988,0.34,0.36,2946070400
AAPL,1/1/1989,0.36,0.34,7345833600
AAPL,2/1/1989,0.34,0.32,4886268800
AAPL,3/1/1989,0.32,0.32,3859676800
AAPL,4/1/1989,0.32,0.35,3966424000
AAPL,5/1/1989,0.34,0.43,5253382400
AAPL,6/1/1989,0.43,0.37,3941280000
AAPL,7/1/1989,0.37,0.35,3688630400
AAPL,8/1/1989,0.35,0.4,3352305600
AAPL,9/1/1989,0.4,0.4,2020849600
AAPL,10/1/1989,0.4,0.42,4125049600
AAPL,11/1/1989,0.41,0.4,2524939200
AAPL,12/1/1989,0.4,0.31,5941185600
AAPL,1/1/1990,0.31,0.3,3747497600
AAPL,2/1/1990,0.31,0.3,2483891200
AAPL,3/1/1990,0.3,0.36,4556473600
AAPL,4/1/1990,0.36,0.35,3642475200
AAPL,5/1/1990,0.35,0.37,4115630400
AAPL,6/1/1990,0.37,0.4,3952054400
AAPL,7/1/1990,0.4,0.38,4163812800
AAPL,8/1/1990,0.38,0.33,3128339200
AAPL,9/1/1990,0.33,0.26,2206948800
AAPL,10/1/1990,0.26,0.27,5056116800
AAPL,11/1/1990,0.27,0.33,3254608000
AAPL,12/1/1990,0.33,0.38,4094092800
AAPL,1/1/1991,0.38,0.5,7037307200
AAPL,2/1/1991,0.5,0.51,5545780800
AAPL,3/1/1991,0.51,0.61,5210598400
AAPL,4/1/1991,0.61,0.49,7243051200
AAPL,5/1/1991,0.43,0.42,7972843200
AAPL,6/1/1991,0.42,0.37,4091662400
AAPL,7/1/1991,0.38,0.41,3783494400
AAPL,8/1/1991,0.41,0.47,4172649600
AAPL,9/1/1991,0.47,0.44,2393070400
AAPL,10/1/1991,0.44,0.46,3593990400
AAPL,11/1/1991,0.46,0.45,3696033600
AAPL,12/1/1991,0.45,0.5,2607169600
AAPL,1/1/1992,0.5,0.58,4703160000
AAPL,2/1/1992,0.58,0.6,2534996800
AAPL,3/1/1992,0.6,0.52,2985662400
AAPL,4/1/1992,0.51,0.54,3931390400
AAPL,5/1/1992,0.54,0.53,2703724800
AAPL,6/1/1992,0.51,0.43,4851683200
AAPL,7/1/1992,0.43,0.42,3632809600
AAPL,8/1/1992,0.42,0.41,2746531200
AAPL,9/1/1992,0.41,0.4,3055662400
AAPL,10/1/1992,0.4,0.47,3531427200
AAPL,11/1/1992,0.47,0.51,3126547200
AAPL,12/1/1992,0.51,0.53,3334318400
AAPL,1/1/1993,0.53,0.53,5542264000
AAPL,2/1/1993,0.53,0.47,4651281600
AAPL,3/1/1993,0.47,0.46,3661526400
AAPL,4/1/1993,0.46,0.46,3914411200
AAPL,5/1/1993,0.46,0.51,3200545600
AAPL,6/1/1993,0.5,0.35,7674396800
AAPL,7/1/1993,0.35,0.25,7142912000
AAPL,8/1/1993,0.25,0.24,3683164800
AAPL,9/1/1993,0.24,0.21,3668022400
AAPL,10/1/1993,0.2,0.27,5905323200
AAPL,11/1/1993,0.27,0.28,3452108800
AAPL,12/1/1993,0.29,0.26,3956971200
AAPL,1/1/1994,0.26,0.29,7332035200
AAPL,2/1/1994,0.29,0.33,4284459200
AAPL,3/1/1994,0.33,0.3,5257985600
AAPL,4/1/1994,0.29,0.27,4042136000
AAPL,5/1/1994,0.27,0.26,3361657600
AAPL,6/1/1994,0.25,0.24,4671788800
AAPL,7/1/1994,0.24,0.3,4848065600
AAPL,8/1/1994,0.3,0.32,4574897600
AAPL,9/1/1994,0.32,0.3,3232644800
AAPL,10/1/1994,0.3,0.39,7713484800
AAPL,11/1/1994,0.38,0.33,4048945600
AAPL,12/1/1994,0.33,0.35,3787795200
AAPL,1/1/1995,0.35,0.36,8162100800
AAPL,2/1/1995,0.36,0.35,5299347200
AAPL,3/1/1995,0.35,0.31,6997144000
AAPL,4/1/1995,0.32,0.34,5674300800
AAPL,5/1/1995,0.34,0.37,6384672000
AAPL,6/1/1995,0.37,0.41,5521947200
AAPL,7/1/1995,0.42,0.4,5699579200
AAPL,8/1/1995,0.4,0.38,5292918400
AAPL,9/1/1995,0.38,0.33,7311483200
AAPL,10/1/1995,0.34,0.32,6498508800
AAPL,11/1/1995,0.33,0.34,4864294400
AAPL,12/1/1995,0.34,0.28,6560243200
AAPL,1/1/1996,0.29,0.25,10300214400
AAPL,2/1/1996,0.25,0.25,4652099200
AAPL,3/1/1996,0.25,0.22,3346750400
AAPL,4/1/1996,0.22,0.22,2867076800
AAPL,5/1/1996,0.22,0.23,3603902400
AAPL,6/1/1996,0.23,0.19,4673939200
AAPL,7/1/1996,0.19,0.2,4803489600
AAPL,8/1/1996,0.2,0.22,3187374400
AAPL,9/1/1996,0.22,0.2,3213548800
AAPL,10/1/1996,0.2,0.21,5816977600
AAPL,11/1/1996,0.21,0.22,2581364800
AAPL,12/1/1996,0.22,0.19,4147483200
AAPL,1/1/1997,0.19,0.15,9072739200
AAPL,2/1/1997,0.15,0.15,4574169600
AAPL,3/1/1997,0.15,0.16,4502243200
AAPL,4/1/1997,0.16,0.15,3809724800
AAPL,5/1/1997,0.15,0.15,2292707200
AAPL,6/1/1997,0.15,0.13,2572304000
AAPL,7/1/1997,0.12,0.16,6782372800
AAPL,8/1/1997,0.16,0.19,17675705600
AAPL,9/1/1997,0.2,0.19,3606075200
AAPL,10/1/1997,0.19,0.15,6430043200
AAPL,11/1/1997,0.16,0.16,5547483200
AAPL,12/1/1997,0.16,0.12,5097792000
AAPL,1/1/1998,0.12,0.16,10211577600
AAPL,2/1/1998,0.17,0.21,7354166400
AAPL,3/1/1998,0.21,0.25,10625977600
AAPL,4/1/1998,0.24,0.24,8081886400
AAPL,5/1/1998,0.25,0.24,6803339200
AAPL,6/1/1998,0.24,0.26,3909841600
AAPL,7/1/1998,0.26,0.31,10927660800
AAPL,8/1/1998,0.31,0.28,13220872000
AAPL,9/1/1998,0.28,0.34,8080318400
AAPL,10/1/1998,0.33,0.33,12930926400
AAPL,11/1/1998,0.33,0.29,10123523200
AAPL,12/1/1998,0.29,0.37,12924105600
AAPL,1/1/1999,0.38,0.37,15127403200
AAPL,2/1/1999,0.37,0.31,8116516800
AAPL,3/1/1999,0.31,0.32,9951995200
AAPL,4/1/1999,0.32,0.41,15888969600
AAPL,5/1/1999,0.41,0.39,8908905600
AAPL,6/1/1999,0.4,0.41,6918620800
AAPL,7/1/1999,0.41,0.5,11466582400
AAPL,8/1/1999,0.5,0.58,9244603200
AAPL,9/1/1999,0.6,0.57,18967468800
