Index,Month_Index
1,01/1947
2,02/1947
3,03/1947
4,04/1947
5,05/1947
6,06/1947
7,07/1947
8,08/1947
9,09/1947
10,10/1947
11,11/1947
12,12/1947
13,01/1948
14,02/1948
15,03/1948
16,04/1948
17,05/1948
18,06/1948
19,07/1948
20,08/1948
21,09/1948
22,10/1948
23,11/1948
24,12/1948
25,01/1949
26,02/1949
27,03/1949
28,04/1949
29,05/1949
30,06/1949
31,07/1949
32,08/1949
33,09/1949
34,10/1949
35,11/1949
36,12/1949
37,01/1950
38,02/1950
39,03/1950
40,04/1950
41,05/1950
42,06/1950
43,07/1950
44,08/1950
45,09/1950
46,10/1950
47,11/1950
48,12/1950
49,01/1951
50,02/1951
51,03/1951
52,04/1951
53,05/1951
54,06/1951
55,07/1951
56,08/1951
57,09/1951
58,10/1951
59,11/1951
60,12/1951
61,01/1952
62,02/1952
63,03/1952
64,04/1952
65,05/1952
66,06/1952
67,07/1952
68,08/1952
69,09/1952
70,10/1952
71,11/1952
72,12/1952
73,01/1953
74,02/1953
75,03/1953
76,04/1953
77,05/1953
78,06/1953
79,07/1953
80,08/1953
81,09/1953
82,10/1953
83,11/1953
84,12/1953
85,01/1954
86,02/1954
87,03/1954
88,04/1954
89,05/1954
90,06/1954
91,07/1954
92,08/1954
93,09/1954
94,10/1954
95,11/1954
96,12/1954
97,01/1955
98,02/1955
99,03/1955
100,04/1955
101,05/1955
102,06/1955
103,07/1955
104,08/1955
105,09/1955
106,10/1955
107,11/1955
108,12/1955
109,01/1956
110,02/1956
111,03/1956
112,04/1956
113,05/1956
114,06/1956
115,07/1956
116,08/1956
117,09/1956
118,10/1956
119,11/1956
120,12/1956
121,01/1957
122,02/1957
123,03/1957
124,04/1957
125,05/1957
126,06/1957
127,07/1957
128,08/1957
129,09/1957
130,10/1957
131,11/1957
132,12/1957
133,01/1958
134,02/1958
135,03/1958
136,04/1958
137,05/1958
138,06/1958
139,07/1958
140,08/1958
141,09/1958
142,10/1958
143,11/1958
144,12/1958
145,01/1959
146,02/1959
147,03/1959
148,04/1959
149,05/1959
150,06/1959
151,07/1959
152,08/1959
153,09/1959
154,10/1959
155,11/1959
156,12/1959
157,01/1960
158,02/1960
159,03/1960
160,04/1960
161,05/1960
162,06/1960
163,07/1960
164,08/1960
165,09/1960
166,10/1960
167,11/1960
168,12/1960
169,01/1961
170,02/1961
171,03/1961
172,04/1961
173,05/1961
174,06/1961
175,07/1961
176,08/1961
177,09/1961
178,10/1961
179,11/1961
180,12/1961
181,01/1962
182,02/1962
183,03/1962
184,04/1962
185,05/1962
186,06/1962
187,07/1962
188,08/1962
189,09/1962
190,10/1962
191,11/1962
192,12/1962
193,01/1963
194,02/1963
195,03/1963
196,04/1963
197,05/1963
198,06/1963
199,07/1963
200,08/1963
201,09/1963
202,10/1963
203,11/1963
204,12/1963
205,01/1964
206,02/1964
207,03/1964
208,04/1964
209,05/1964
210,06/1964
211,07/1964
212,08/1964
213,09/1964
214,10/1964
215,11/1964
216,12/1964
217,01/1965
218,02/1965
219,03/1965
220,04/1965
221,05/1965
222,06/1965
223,07/1965
224,08/1965
225,09/1965
226,10/1965
227,11/1965
228,12/1965
229,01/1966
230,02/1966
231,03/1966
232,04/1966
233,05/1966
234,06/1966
235,07/1966
236,08/1966
237,09/1966
238,10/1966
