ticker,smonth,oprice,cprice,svol
GOOGL,2004-08-01,2.5,2.56,2672137188
GOOGL,2004-09-01,2.57,3.24,4249913832
GOOGL,2004-10-01,3.27,4.77,10272433284
GOOGL,2004-11-01,4.84,4.55,11092660236
GOOGL,2004-12-01,4.55,4.82,5807878308
GOOGL,2005-01-01,4.94,4.9,8198389404
GOOGL,2005-02-01,4.86,4.7,13011367608
GOOGL,2005-03-01,4.74,4.52,6871082040
GOOGL,2005-04-01,4.55,5.51,9058576356
GOOGL,2005-05-01,5.56,6.94,10140601248
GOOGL,2005-06-01,7.09,7.36,15544507932
GOOGL,2005-07-01,7.38,7.2,8189766036
GOOGL,2005-08-01,7.21,7.16,5713157124
GOOGL,2005-09-01,7.15,7.92,6799321872
GOOGL,2005-10-01,7.85,9.31,7710781500
GOOGL,2005-11-01,9.31,10.13,8458177356
GOOGL,2005-12-01,10.24,10.38,7943316732
GOOGL,2006-01-01,10.57,10.83,11949642396
GOOGL,2006-02-01,9.74,9.07,11889099000
GOOGL,2006-03-01,9.22,9.76,12258289440
GOOGL,2006-04-01,9.75,10.46,7405167420
GOOGL,2006-05-01,10.47,9.3,7030554408
GOOGL,2006-06-01,9.35,10.49,5689528776
GOOGL,2006-07-01,10.51,9.67,5095775124
GOOGL,2006-08-01,9.64,9.47,4274601120
GOOGL,2006-09-01,9.53,10.06,4857193944
GOOGL,2006-10-01,10.06,11.92,6334219440
GOOGL,2006-11-01,11.98,12.13,4732874388
GOOGL,2006-12-01,12.16,11.52,3662901432
GOOGL,2007-01-01,11.66,12.55,4978500516
GOOGL,2007-02-01,12.66,11.25,4552007436
GOOGL,2007-03-01,11.08,11.47,4719931344
GOOGL,2007-04-01,11.46,11.8,3714621660
GOOGL,2007-05-01,11.82,12.46,3979284732
GOOGL,2007-06-01,12.54,13.08,5156774064
GOOGL,2007-07-01,13.15,12.76,4660566768
GOOGL,2007-08-01,12.78,12.89,3544479972
GOOGL,2007-09-01,12.89,14.2,2773775448
GOOGL,2007-10-01,14.26,17.69,6211821960
GOOGL,2007-11-01,17.59,17.34,6852148992
GOOGL,2007-12-01,17.29,17.3,3409151436
GOOGL,2008-01-01,17.34,14.12,6305264424
GOOGL,2008-02-01,13.23,11.79,7080332580
GOOGL,2008-03-01,11.8,11.02,5818795380
GOOGL,2008-04-01,11.2,14.37,5716066212
GOOGL,2008-05-01,14.47,14.66,4181126688
GOOGL,2008-06-01,14.58,13.17,3747632616
GOOGL,2008-07-01,13,11.86,4159276560
GOOGL,2008-08-01,11.82,11.59,2749823424
GOOGL,2008-09-01,11.93,10.02,5357776860
GOOGL,2008-10-01,10.29,8.99,7963852176
GOOGL,2008-11-01,8.95,7.33,6314998680
GOOGL,2008-12-01,7.17,7.7,4515775704
GOOGL,2009-01-01,7.72,8.47,4390872732
GOOGL,2009-02-01,8.37,8.46,4458948588
GOOGL,2009-03-01,8.34,8.71,4554452988
GOOGL,2009-04-01,8.6,9.91,3509802684
GOOGL,2009-05-01,9.89,10.44,2279130588
GOOGL,2009-06-01,10.48,10.55,2815621560
GOOGL,2009-07-01,10.62,11.09,2917767312
GOOGL,2009-08-01,11.23,11.55,1947594456
GOOGL,2009-09-01,11.5,12.41,2041140816
GOOGL,2009-10-01,12.34,13.42,3083893020
GOOGL,2009-11-01,13.44,14.59,1634611752
GOOGL,2009-12-01,14.72,15.52,1703107188
GOOGL,2010-01-01,15.69,13.26,3560455980
GOOGL,2010-02-01,13.38,13.18,2079290628
GOOGL,2010-03-01,13.24,14.19,3347637012
GOOGL,2010-04-01,14.3,13.16,2919517560
GOOGL,2010-05-01,13.18,12.15,3259185552
GOOGL,2010-06-01,12.02,11.13,2392133472
GOOGL,2010-07-01,11.14,12.13,2769627600
GOOGL,2010-08-01,12.24,11.26,2112093792
GOOGL,2010-09-01,11.39,13.16,2385651960
GOOGL,2010-10-01,13.26,15.36,3170742084
GOOGL,2010-11-01,15.41,13.91,2335338324
GOOGL,2010-12-01,14.09,14.86,1689716592
GOOGL,2011-01-01,14.93,15.02,2396976624
GOOGL,2011-02-01,15.13,15.35,1673085240
GOOGL,2011-03-01,15.46,14.68,2403154440
GOOGL,2011-04-01,14.73,13.62,2806858332
GOOGL,2011-05-01,13.66,13.24,1811302884
GOOGL,2011-06-01,13.21,12.67,2362638996
GOOGL,2011-07-01,12.68,15.11,3238977780
GOOGL,2011-08-01,15.3,13.54,4266752976
GOOGL,2011-09-01,13.53,12.89,2342842812
GOOGL,2011-10-01,12.76,14.83,3085531380
GOOGL,2011-11-01,14.52,15,2409607980
GOOGL,2011-12-01,15.02,16.16,2199698100
GOOGL,2012-01-01,16.34,14.52,2942758296
GOOGL,2012-02-01,14.64,15.47,1892689416
GOOGL,2012-03-01,15.57,16.05,1891314792
GOOGL,2012-04-01,16.04,15.14,2352752892
GOOGL,2012-05-01,15.11,14.54,2344585068
GOOGL,2012-06-01,14.31,14.52,1858311828
GOOGL,2012-07-01,14.56,15.84,2049412536
GOOGL,2012-08-01,15.95,17.14,1880649468
GOOGL,2012-09-01,17.13,18.88,2404696896
GOOGL,2012-10-01,19,17.02,2869080048
GOOGL,2012-11-01,17,17.48,1865300832
GOOGL,2012-12-01,17.57,17.7,1666152180
GOOGL,2013-01-01,18,18.91,2094111792
GOOGL,2013-02-01,18.97,20.05,1851762384
GOOGL,2013-03-01,19.96,19.87,1700254044
GOOGL,2013-04-01,19.9,20.63,2139945912
GOOGL,2013-05-01,20.6,21.8,1974715308
GOOGL,2013-06-01,21.85,22.03,1941280776
GOOGL,2013-07-01,22.18,22.22,2047770180
GOOGL,2013-08-01,22.4,21.19,1338144516
GOOGL,2013-09-01,21.38,21.92,1323615060
GOOGL,2013-10-01,22.03,25.79,2206771020
GOOGL,2013-11-01,25.82,26.52,1049213736
GOOGL,2013-12-01,26.61,28.05,1352374272
GOOGL,2014-01-01,27.91,29.55,2178287532
GOOGL,2014-02-01,29.51,30.42,1620230148
GOOGL,2014-03-01,30.2,27.89,1744505748
GOOGL,2014-04-01,28.03,26.74,1421285316
GOOGL,2014-05-01,26.71,28.58,829136000
GOOGL,2014-06-01,28.49,29.23,789784000
GOOGL,2014-07-01,29.38,28.98,771666000
GOOGL,2014-08-01,28.93,29.12,581574000
GOOGL,2014-09-01,29.15,29.42,708502000
GOOGL,2014-10-01,29.34,28.39,1109632000
GOOGL,2014-11-01,28.18,27.45,595410000
GOOGL,2014-12-01,27.25,26.53,1088686000
GOOGL,2015-01-01,26.63,26.88,1056926000
GOOGL,2015-02-01,26.72,28.13,808386000
GOOGL,2015-03-01,28.35,27.74,864144000
GOOGL,2015-04-01,27.74,27.44,874900000
GOOGL,2015-05-01,27.53,27.27,648434000
GOOGL,2015-06-01,27.44,27,704328000
GOOGL,2015-07-01,27.18,32.88,1370858000
GOOGL,2015-08-01,32.88,32.39,1106942000
GOOGL,2015-09-01,31.69,31.92,871504000
GOOGL,2015-10-01,31.9,36.87,1005286000
GOOGL,2015-11-01,36.73,38.14,751482000
GOOGL,2015-12-01,38.35,38.9,872694000
GOOGL,2016-01-01,38.11,38.07,1039984000
GOOGL,2016-02-01,38.56,35.86,1352946000
GOOGL,2016-03-01,36.06,38.15,853314000
GOOGL,2016-04-01,37.86,35.39,933228000
GOOGL,2016-05-01,35.6,37.44,682046000
GOOGL,2016-06-01,37.42,35.18,839330000
GOOGL,2016-07-01,35.26,39.57,653244000
GOOGL,2016-08-01,39.33,39.49,577080000
GOOGL,2016-09-01,39.6,40.2,630896000
GOOGL,2016-10-01,40.13,40.49,707820000
GOOGL,2016-11-01,40.54,38.79,967068000
GOOGL,2016-12-01,38.93,39.62,687126000
GOOGL,2017-01-01,40.03,41.01,736654000
GOOGL,2017-02-01,41.2,42.25,529816000
GOOGL,2017-03-01,42.57,42.39,691002000
GOOGL,2017-04-01,42.44,46.23,574432000
GOOGL,2017-05-01,46.21,49.35,707186000
GOOGL,2017-06-01,49.55,46.48,881706000
GOOGL,2017-07-01,46.66,47.28,838172000
GOOGL,2017-08-01,47.39,47.76,656924000
GOOGL,2017-09-01,47.87,48.69,592524000
GOOGL,2017-10-01,48.78,51.65,737076000
GOOGL,2017-11-01,51.82,51.81,573720000
GOOGL,2017-12-01,51.52,52.67,598810000
GOOGL,2018-01-01,52.65,59.11,657748000
GOOGL,2018-02-01,58.8,55.2,1026814000
GOOGL,2018-03-01,55.48,51.86,1042336000
GOOGL,2018-04-01,51.38,50.93,984928000
GOOGL,2018-05-01,50.81,55,740734000
GOOGL,2018-06-01,55.64,56.46,803684000
GOOGL,2018-07-01,55.77,61.36,835654000
GOOGL,2018-08-01,61.96,61.59,685718000
GOOGL,2018-09-01,61.13,60.35,718518000
GOOGL,2018-10-01,60.65,54.53,1130942000
GOOGL,2018-11-01,54.57,55.48,786236000
GOOGL,2018-12-01,56.61,52.25,857436000
GOOGL,2019-01-01,51.36,56.29,697168000
GOOGL,2019-02-01,56.11,56.33,652174000
GOOGL,2019-03-01,56.55,58.84,663738000
GOOGL,2019-04-01,59.38,59.95,647446000
GOOGL,2019-05-01,59.88,55.33,742726000
GOOGL,2019-06-01,53.35,54.14,712452000
GOOGL,2019-07-01,55.05,60.91,715104000
GOOGL,2019-08-01,60.88,59.53,586310000
GOOGL,2019-09-01,59.09,61.06,517072000
GOOGL,2019-10-01,61.12,62.94,603634000
GOOGL,2019-11-01,63.29,65.2,528780000
GOOGL,2019-12-01,65.13,66.97,559106000
GOOGL,2020-01-01,67.42,71.64,673594000
GOOGL,2020-02-01,73.08,66.96,830656000
