ticker,date,open,high,low,close,volume,earnings_date,td_num,event_day,daily_return,daily_return_pct
AAPL,2005-01-03,1.16,1.16,1.12,1.13,12382431,,0,,,
AAPL,2005-01-04,1.14,1.17,1.12,1.14,19608238,,1,,0.008849557522123908,0.8849557522123908
AAPL,2005-01-05,1.15,1.17,1.14,1.15,12157876,,2,-5.0,0.00877192982456143,0.8771929824561431
AAPL,2005-01-06,1.16,1.16,1.13,1.15,12604964,,3,-4.0,0.0,0.0
AAPL,2005-01-07,1.16,1.24,1.16,1.24,39923768,,4,-3.0,0.07826086956521738,7.826086956521738
AAPL,2005-01-10,1.25,1.26,1.21,1.23,31018490,,5,-2.0,-0.008064516129032251,-0.8064516129032251
AAPL,2005-01-11,1.22,1.23,1.15,1.15,46716924,,6,-1.0,-0.06504065040650409,-6.504065040650408
AAPL,2005-01-12,1.17,1.18,1.13,1.17,36249704,2005-01-12,7,0.0,0.01739130434782621,1.7391304347826209
AAPL,2005-01-13,1.32,1.33,1.25,1.25,56600952,,8,1.0,0.06837606837606836,6.8376068376068355
AAPL,2005-01-14,1.25,1.28,1.24,1.25,31631950,,9,2.0,0.0,0.0
AAPL,2005-01-18,1.25,1.26,1.24,1.26,17993512,,10,3.0,0.008000000000000007,0.8000000000000007
AAPL,2005-01-19,1.26,1.28,1.25,1.25,13521549,,11,4.0,-0.007936507936507908,-0.7936507936507908
AAPL,2005-01-20,1.24,1.27,1.24,1.26,16349147,,12,5.0,0.008000000000000007,0.8000000000000007
AAPL,2005-01-21,1.27,1.28,1.25,1.26,16288721,,13,,0.0,0.0
AAPL,2005-01-24,1.27,1.28,1.26,1.26,15066057,,14,,0.0,0.0
AAPL,2005-01-25,1.27,1.3,1.27,1.29,17327064,,15,,0.023809523809523725,2.3809523809523725
AAPL,2005-01-26,1.3,1.3,1.27,1.29,13293553,,16,,0.0,0.0
AAPL,2005-01-27,1.29,1.3,1.28,1.3,8870664,,17,,0.007751937984496138,0.7751937984496138
AAPL,2005-01-28,1.3,1.32,1.29,1.32,14324548,,18,,0.01538461538461533,1.538461538461533
AAPL,2005-01-31,1.34,1.39,1.33,1.37,30079620,,19,,0.037878787878787845,3.7878787878787845
AAPL,2005-02-01,1.38,1.39,1.37,1.38,12140065,,20,,0.007299270072992581,0.7299270072992581
AAPL,2005-02-02,1.39,1.43,1.39,1.42,18296124,,21,,0.02898550724637694,2.898550724637694
AAPL,2005-02-03,1.42,1.42,1.38,1.39,13089041,,22,,-0.021126760563380254,-2.1126760563380254
AAPL,2005-02-04,1.39,1.41,1.38,1.41,10065775,,23,,0.014388489208633004,1.4388489208633004
AAPL,2005-02-07,1.41,1.42,1.38,1.41,9399938,,24,,0.0,0.0
AAPL,2005-02-08,1.41,1.45,1.41,1.44,15899505,,25,,0.02127659574468077,2.127659574468077
AAPL,2005-02-09,1.45,1.46,1.39,1.41,21323156,,26,,-0.02083333333333337,-2.083333333333337
AAPL,2005-02-10,1.41,1.42,1.37,1.4,19529664,,27,,-0.007092198581560294,-0.7092198581560294
AAPL,2005-02-11,1.43,1.46,1.41,1.45,21475772,,28,,0.03571428571428581,3.571428571428581
AAPL,2005-02-14,1.48,1.51,1.47,1.51,22724012,,29,,0.04137931034482767,4.137931034482767
AAPL,2005-02-15,1.55,1.59,1.54,1.58,41489860,,30,,0.04635761589403975,4.635761589403975
AAPL,2005-02-16,1.57,1.61,1.56,1.61,29289454,,31,,0.018987341772152,1.8987341772152
AAPL,2005-02-17,1.62,1.62,1.56,1.57,27169312,,32,,-0.024844720496894457,-2.4844720496894457
AAPL,2005-02-18,1.57,1.57,1.54,1.55,20786912,,33,,-0.01273885350318471,-1.273885350318471
AAPL,2005-02-22,1.54,1.58,1.52,1.52,21788954,,34,,-0.01935483870967747,-1.9354838709677469
AAPL,2005-02-23,1.55,1.58,1.53,1.58,24031744,,35,,0.03947368421052633,3.9473684210526327
AAPL,2005-02-24,1.58,1.59,1.57,1.59,27248288,,36,,0.006329113924050667,0.6329113924050667
AAPL,2005-02-25,1.6,1.61,1.57,1.59,16356156,,37,,0.0,0.0
AAPL,2005-02-28,1.6,1.61,1.57,1.6,23325180,,38,,0.0062893081761006275,0.6289308176100628
AAPL,2005-03-01,1.61,1.61,1.58,1.59,16765290,,39,,-0.006249999999999978,-0.6249999999999978
AAPL,2005-03-02,1.58,1.6,1.57,1.58,16374329,,40,,-0.0062893081761006275,-0.6289308176100628
AAPL,2005-03-03,1.58,1.59,1.47,1.49,50455212,,41,,-0.05696202531645578,-5.696202531645578
AAPL,2005-03-04,1.53,1.54,1.49,1.53,27022100,,42,,0.02684563758389258,2.684563758389258
AAPL,2005-03-07,1.53,1.54,1.51,1.53,16108114,,43,,0.0,0.0
AAPL,2005-03-08,1.49,1.51,1.43,1.45,36481504,,44,,-0.05228758169934644,-5.228758169934644
AAPL,2005-03-09,1.42,1.44,1.39,1.41,47234216,,45,,-0.02758620689655178,-2.758620689655178
AAPL,2005-03-10,1.41,1.44,1.4,1.42,27764980,,46,,0.007092198581560183,0.7092198581560183
AAPL,2005-03-11,1.43,1.45,1.42,1.44,22601228,,47,,0.014084507042253502,1.4084507042253502
AAPL,2005-03-14,1.45,1.46,1.41,1.44,21621272,,48,,0.0,0.0
AAPL,2005-03-15,1.45,1.47,1.44,1.46,18297472,,49,,0.01388888888888884,1.388888888888884
AAPL,2005-03-16,1.47,1.51,1.46,1.47,25003620,,50,,0.006849315068493178,0.6849315068493178
AAPL,2005-03-17,1.49,1.53,1.48,1.51,28678616,,51,,0.027210884353741527,2.7210884353741527
AAPL,2005-03-18,1.55,1.55,1.52,1.53,34887344,,52,,0.013245033112582849,1.324503311258285
AAPL,2005-03-21,1.55,1.57,1.53,1.56,19330878,,53,,0.019607843137254832,1.9607843137254832
AAPL,2005-03-22,1.56,1.57,1.52,1.53,19708296,,54,,-0.019230769230769273,-1.9230769230769273
AAPL,2005-03-23,1.52,1.55,1.5,1.52,21810768,,55,,-0.006535947712418277,-0.6535947712418277
AAPL,2005-03-24,1.53,1.54,1.52,1.52,12616565,,56,,0.0,0.0
AAPL,2005-03-28,1.53,1.53,1.52,1.52,9917320,,57,,0.0,0.0
AAPL,2005-03-29,1.52,1.53,1.48,1.49,16539814,,58,,-0.019736842105263164,-1.9736842105263164
AAPL,2005-03-30,1.5,1.53,1.49,1.53,14134914,,59,,0.02684563758389258,2.684563758389258
AAPL,2005-03-31,1.51,1.52,1.49,1.49,22749476,,60,,-0.02614379084967322,-2.614379084967322
AAPL,2005-04-01,1.49,1.51,1.45,1.46,22951656,,61,,-0.020134228187919434,-2.0134228187919434
AAPL,2005-04-04,1.46,1.48,1.43,1.47,20723212,,62,,0.006849315068493178,0.6849315068493178
AAPL,2005-04-05,1.47,1.51,1.47,1.5,19949792,,63,,0.020408163265306145,2.0408163265306145
AAPL,2005-04-06,1.51,1.53,1.51,1.51,14847608,,64,-5.0,0.006666666666666599,0.6666666666666599
AAPL,2005-04-07,1.51,1.56,1.51,1.56,18141356,,65,-4.0,0.0331125827814569,3.31125827814569
AAPL,2005-04-08,1.56,1.59,1.56,1.56,23231216,,66,-3.0,0.0,0.0
AAPL,2005-04-11,1.58,1.58,1.5,1.5,29432464,,67,-2.0,-0.03846153846153855,-3.8461538461538547
AAPL,2005-04-12,1.52,1.54,1.5,1.52,35120348,,68,-1.0,0.01333333333333342,1.333333333333342
AAPL,2005-04-13,1.45,1.45,1.45,1.45,6400,2005-04-13,69,0.0,-0.046052631578947456,-4.605263157894745
AAPL,2005-04-14,1.39,1.43,1.32,1.33,98538512,,70,1.0,-0.08275862068965512,-8.275862068965512
AAPL,2005-04-15,1.31,1.33,1.26,1.26,61798220,,71,2.0,-0.052631578947368474,-5.263157894736848
AAPL,2005-04-18,1.25,1.3,1.21,1.27,47415192,,72,3.0,0.007936507936507908,0.7936507936507908
AAPL,2005-04-19,1.3,1.34,1.28,1.32,38832928,,73,4.0,0.03937007874015741,3.937007874015741
AAPL,2005-04-20,1.35,1.35,1.27,1.27,34148904,,74,5.0,-0.037878787878787956,-3.7878787878787956
AAPL,2005-04-21,1.29,1.33,1.28,1.33,27284472,,75,,0.047244094488189115,4.7244094488189115
AAPL,2005-04-22,1.32,1.32,1.25,1.27,29992444,,76,,-0.045112781954887216,-4.511278195488721
AAPL,2005-04-25,1.3,1.3,1.3,1.3,2000,,77,,0.023622047244094446,2.3622047244094446
AAPL,2005-04-26,1.31,1.34,1.29,1.29,29075724,,78,,-0.007692307692307665,-0.7692307692307665
AAPL,2005-04-27,1.28,1.3,1.27,1.28,21950032,,79,,-0.007751937984496138,-0.7751937984496138
AAPL,2005-04-28,1.3,1.3,1.26,1.27,20616996,,80,,-0.0078125,-0.78125
AAPL,2005-04-29,1.28,1.29,1.26,1.29,24010332,,81,,0.015748031496062964,1.5748031496062964
AAPL,2005-05-02,1.3,1.31,1.29,1.3,16651221,,82,,0.007751937984496138,0.7751937984496138
AAPL,2005-05-03,1.3,1.31,1.29,1.29,17753358,,83,,-0.007692307692307665,-0.7692307692307665
AAPL,2005-05-04,1.29,1.33,1.29,1.33,16400068,,84,,0.03100775193798455,3.100775193798455
AAPL,2005-05-05,1.33,1.33,1.3,1.31,13853022,,85,,-0.015037593984962405,-1.5037593984962405
AAPL,2005-05-06,1.32,1.33,1.31,1.33,11663730,,86,,0.01526717557251911,1.526717557251911
AAPL,2005-05-09,1.33,1.34,1.31,1.32,12704692,,87,,-0.007518796992481258,-0.7518796992481258
AAPL,2005-05-10,1.3,1.3,1.3,1.3,400,,88,,-0.015151515151515138,-1.5151515151515138
AAPL,2005-05-11,1.26,1.27,1.18,1.27,73270800,,89,,-0.023076923076923106,-2.3076923076923106
AAPL,2005-05-12,1.27,1.27,1.21,1.22,34684328,,90,,-0.03937007874015752,-3.937007874015752
AAPL,2005-05-13,1.23,1.26,1.22,1.24,25190280,,91,,0.016393442622950838,1.6393442622950838
AAPL,2005-05-16,1.24,1.28,1.23,1.27,17054118,,92,,0.024193548387096753,2.4193548387096753
AAPL,2005-05-17,1.26,1.27,1.23,1.26,21079186,,93,,-0.007874015748031482,-0.7874015748031482
AAPL,2005-05-18,1.27,1.34,1.25,1.28,22747010,,94,,0.015873015873015817,1.5873015873015817
AAPL,2005-05-19,1.28,1.35,1.28,1.34,28386400,,95,,0.046875,4.6875
AAPL,2005-05-20,1.33,1.34,1.33,1.34,16181023,,96,,0.0,0.0
AAPL,2005-05-23,1.36,1.43,1.35,1.42,37295840,,97,,0.05970149253731338,5.970149253731338
AAPL,2005-05-24,1.41,1.43,1.39,1.42,21231668,,98,,0.0,0.0
AAPL,2005-05-25,1.41,1.43,1.4,1.42,14835087,,99,,0.0,0.0
AAPL,2005-05-26,1.43,1.46,1.39,1.46,18780024,,100,,0.028169014084507005,2.8169014084507005
AAPL,2005-05-27,1.45,1.46,1.43,1.45,11291435,,101,,-0.006849315068493178,-0.6849315068493178
AAPL,2005-05-31,1.45,1.46,1.41,1.42,14470443,,102,,-0.020689655172413834,-2.0689655172413834
AAPL,2005-06-01,1.43,1.46,1.42,1.44,16264511,,103,,0.014084507042253502,1.4084507042253502
AAPL,2005-06-02,1.41,1.41,1.41,1.41,100,,104,,-0.02083333333333337,-2.083333333333337
AAPL,2005-06-03,1.36,1.38,1.35,1.37,34199600,,105,,-0.028368794326240954,-2.8368794326240954
AAPL,2005-06-06,1.37,1.38,1.34,1.35,29011744,,106,,-0.014598540145985384,-1.4598540145985384
AAPL,2005-06-07,1.34,1.35,1.3,1.31,26680808,,107,,-0.029629629629629672,-2.9629629629629672
AAPL,2005-06-08,1.31,1.33,1.31,1.32,14760485,,108,,0.007633587786259444,0.7633587786259444
AAPL,2005-06-09,1.32,1.36,1.31,1.34,13954089,,109,,0.015151515151515138,1.5151515151515138
AAPL,2005-06-10,1.33,1.34,1.27,1.28,24260902,,110,,-0.04477611940298509,-4.477611940298509
AAPL,2005-06-13,1.28,1.31,1.28,1.28,15571901,,111,,0.0,0.0
AAPL,2005-06-14,1.28,1.29,1.28,1.29,12612070,,112,,0.0078125,0.78125
AAPL,2005-06-15,1.32,1.33,1.3,1.33,20241382,,113,,0.03100775193798455,3.100775193798455
AAPL,2005-06-16,1.33,1.36,1.32,1.36,19797992,,114,,0.022556390977443552,2.2556390977443552
AAPL,2005-06-17,1.37,1.38,1.35,1.37,21479112,,115,,0.007352941176470562,0.7352941176470562
AAPL,2005-06-20,1.35,1.36,1.34,1.34,11618279,,116,,-0.021897810218978075,-2.1897810218978075
AAPL,2005-06-21,1.35,1.36,1.34,1.35,13256117,,117,,0.00746268656716409,0.746268656716409
AAPL,2005-06-22,1.37,1.38,1.36,1.38,15346893,,118,,0.022222222222222143,2.2222222222222143
AAPL,2005-06-23,1.39,1.42,1.38,1.39,24097384,,119,,0.007246376811594235,0.7246376811594235
AAPL,2005-06-24,1.4,1.4,1.35,1.35,16506404,,120,,-0.028776978417266008,-2.877697841726601
AAPL,2005-06-27,1.32,1.36,1.31,1.33,21489972,,121,,-0.014814814814814836,-1.4814814814814836
AAPL,2005-06-28,1.34,1.34,1.33,1.33,12558296,,122,,0.0,0.0
AAPL,2005-06-29,1.33,1.33,1.29,1.3,16243383,,123,,-0.022556390977443663,-2.2556390977443663
AAPL,2005-06-30,1.31,1.33,1.3,1.31,14942855,,124,,0.007692307692307665,0.7692307692307665
AAPL,2005-07-01,1.32,1.32,1.3,1.3,8958138,,125,,-0.007633587786259555,-0.7633587786259555
AAPL,2005-07-05,1.31,1.36,1.3,1.36,16279061,,126,,0.04615384615384621,4.615384615384621
AAPL,2005-07-06,1.35,1.36,1.33,1.34,14262019,,127,-5.0,-0.014705882352941235,-1.4705882352941235
AAPL,2005-07-07,1.31,1.35,1.31,1.34,13726918,,128,-4.0,0.0,0.0
AAPL,2005-07-08,1.35,1.37,1.34,1.37,10389757,,129,-3.0,0.02238805970149249,2.238805970149249
