ticker,date,open,high,low,close,volume
AAPL,2005/01/03,1.16,1.16,1.12,1.13,12382431
AAPL,2005/01/04,1.14,1.17,1.12,1.14,19608238
AAPL,2005/01/05,1.15,1.17,1.14,1.15,12157876
AAPL,2005/01/06,1.16,1.16,1.13,1.15,12604964
AAPL,2005/01/07,1.16,1.24,1.16,1.24,39923768
AAPL,2005/01/10,1.25,1.26,1.21,1.23,31018490
AAPL,2005/01/11,1.22,1.23,1.15,1.15,46716924
AAPL,2005/01/12,1.17,1.18,1.13,1.17,36249704
AAPL,2005/01/13,1.32,1.33,1.25,1.25,56600952
AAPL,2005/01/14,1.25,1.28,1.24,1.25,31631950
AAPL,2005/01/18,1.25,1.26,1.24,1.26,17993512
AAPL,2005/01/19,1.26,1.28,1.25,1.25,13521549
AAPL,2005/01/20,1.24,1.27,1.24,1.26,16349147
AAPL,2005/01/21,1.27,1.28,1.25,1.26,16288721
AAPL,2005/01/24,1.27,1.28,1.26,1.26,15066057
AAPL,2005/01/25,1.27,1.3,1.27,1.29,17327064
AAPL,2005/01/26,1.3,1.3,1.27,1.29,13293553
AAPL,2005/01/27,1.29,1.3,1.28,1.3,8870664
AAPL,2005/01/28,1.3,1.32,1.29,1.32,14324548
AAPL,2005/01/31,1.34,1.39,1.33,1.37,30079620
AAPL,2005/02/01,1.38,1.39,1.37,1.38,12140065
AAPL,2005/02/02,1.39,1.43,1.39,1.42,18296124
AAPL,2005/02/03,1.42,1.42,1.38,1.39,13089041
AAPL,2005/02/04,1.39,1.41,1.38,1.41,10065775
AAPL,2005/02/07,1.41,1.42,1.38,1.41,9399938
AAPL,2005/02/08,1.41,1.45,1.41,1.44,15899505
AAPL,2005/02/09,1.45,1.46,1.39,1.41,21323156
AAPL,2005/02/10,1.41,1.42,1.37,1.4,19529664
AAPL,2005/02/11,1.43,1.46,1.41,1.45,21475772
AAPL,2005/02/14,1.48,1.51,1.47,1.51,22724012
AAPL,2005/02/15,1.55,1.59,1.54,1.58,41489860
AAPL,2005/02/16,1.57,1.61,1.56,1.61,29289454
AAPL,2005/02/17,1.62,1.62,1.56,1.57,27169312
AAPL,2005/02/18,1.57,1.57,1.54,1.55,20786912
AAPL,2005/02/22,1.54,1.58,1.52,1.52,21788954
AAPL,2005/02/23,1.55,1.58,1.53,1.58,24031744
AAPL,2005/02/24,1.58,1.59,1.57,1.59,27248288
AAPL,2005/02/25,1.6,1.61,1.57,1.59,16356156
AAPL,2005/02/28,1.6,1.61,1.57,1.6,23325180
AAPL,2005/03/01,1.61,1.61,1.58,1.59,16765290
AAPL,2005/03/02,1.58,1.6,1.57,1.58,16374329
AAPL,2005/03/03,1.58,1.59,1.47,1.49,50455212
AAPL,2005/03/04,1.53,1.54,1.49,1.53,27022100
AAPL,2005/03/07,1.53,1.54,1.51,1.53,16108114
AAPL,2005/03/08,1.49,1.51,1.43,1.45,36481504
AAPL,2005/03/09,1.42,1.44,1.39,1.41,47234216
AAPL,2005/03/10,1.41,1.44,1.4,1.42,27764980
AAPL,2005/03/11,1.43,1.45,1.42,1.44,22601228
AAPL,2005/03/14,1.45,1.46,1.41,1.44,21621272
AAPL,2005/03/15,1.45,1.47,1.44,1.46,18297472
AAPL,2005/03/16,1.47,1.51,1.46,1.47,25003620
AAPL,2005/03/17,1.49,1.53,1.48,1.51,28678616
AAPL,2005/03/18,1.55,1.55,1.52,1.53,34887344
AAPL,2005/03/21,1.55,1.57,1.53,1.56,19330878
AAPL,2005/03/22,1.56,1.57,1.52,1.53,19708296
AAPL,2005/03/23,1.52,1.55,1.5,1.52,21810768
AAPL,2005/03/24,1.53,1.54,1.52,1.52,12616565
AAPL,2005/03/28,1.53,1.53,1.52,1.52,9917320
AAPL,2005/03/29,1.52,1.53,1.48,1.49,16539814
AAPL,2005/03/30,1.5,1.53,1.49,1.53,14134914
AAPL,2005/03/31,1.51,1.52,1.49,1.49,22749476
AAPL,2005/04/01,1.49,1.51,1.45,1.46,22951656
AAPL,2005/04/04,1.46,1.48,1.43,1.47,20723212
AAPL,2005/04/05,1.47,1.51,1.47,1.5,19949792
AAPL,2005/04/06,1.51,1.53,1.51,1.51,14847608
AAPL,2005/04/07,1.51,1.56,1.51,1.56,18141356
AAPL,2005/04/08,1.56,1.59,1.56,1.56,23231216
AAPL,2005/04/11,1.58,1.58,1.5,1.5,29432464
AAPL,2005/04/12,1.52,1.54,1.5,1.52,35120348
AAPL,2005/04/13,1.45,1.45,1.45,1.45,6400
AAPL,2005/04/14,1.39,1.43,1.32,1.33,98538512
AAPL,2005/04/15,1.31,1.33,1.26,1.26,61798220
AAPL,2005/04/18,1.25,1.3,1.21,1.27,47415192
AAPL,2005/04/19,1.3,1.34,1.28,1.32,38832928
AAPL,2005/04/20,1.35,1.35,1.27,1.27,34148904
AAPL,2005/04/21,1.29,1.33,1.28,1.33,27284472
AAPL,2005/04/22,1.32,1.32,1.25,1.27,29992444
AAPL,2005/04/25,1.3,1.3,1.3,1.3,2000
AAPL,2005/04/26,1.31,1.34,1.29,1.29,29075724
AAPL,2005/04/27,1.28,1.3,1.27,1.28,21950032
AAPL,2005/04/28,1.3,1.3,1.26,1.27,20616996
AAPL,2005/04/29,1.28,1.29,1.26,1.29,24010332
AAPL,2005/05/02,1.3,1.31,1.29,1.3,16651221
AAPL,2005/05/03,1.3,1.31,1.29,1.29,17753358
AAPL,2005/05/04,1.29,1.33,1.29,1.33,16400068
AAPL,2005/05/05,1.33,1.33,1.3,1.31,13853022
AAPL,2005/05/06,1.32,1.33,1.31,1.33,11663730
AAPL,2005/05/09,1.33,1.34,1.31,1.32,12704692
AAPL,2005/05/10,1.3,1.3,1.3,1.3,400
AAPL,2005/05/11,1.26,1.27,1.18,1.27,73270800
AAPL,2005/05/12,1.27,1.27,1.21,1.22,34684328
AAPL,2005/05/13,1.23,1.26,1.22,1.24,25190280
AAPL,2005/05/16,1.24,1.28,1.23,1.27,17054118
AAPL,2005/05/17,1.26,1.27,1.23,1.26,21079186
AAPL,2005/05/18,1.27,1.34,1.25,1.28,22747010
AAPL,2005/05/19,1.28,1.35,1.28,1.34,28386400
AAPL,2005/05/20,1.33,1.34,1.33,1.34,16181023
AAPL,2005/05/23,1.36,1.43,1.35,1.42,37295840
AAPL,2005/05/24,1.41,1.43,1.39,1.42,21231668
AAPL,2005/05/25,1.41,1.43,1.4,1.42,14835087
AAPL,2005/05/26,1.43,1.46,1.39,1.46,18780024
AAPL,2005/05/27,1.45,1.46,1.43,1.45,11291435
AAPL,2005/05/31,1.45,1.46,1.41,1.42,14470443
AAPL,2005/06/01,1.43,1.46,1.42,1.44,16264511
AAPL,2005/06/02,1.41,1.41,1.41,1.41,100
AAPL,2005/06/03,1.36,1.38,1.35,1.37,34199600
AAPL,2005/06/06,1.37,1.38,1.34,1.35,29011744
AAPL,2005/06/07,1.34,1.35,1.3,1.31,26680808
AAPL,2005/06/08,1.31,1.33,1.31,1.32,14760485
AAPL,2005/06/09,1.32,1.36,1.31,1.34,13954089
AAPL,2005/06/10,1.33,1.34,1.27,1.28,24260902
AAPL,2005/06/13,1.28,1.31,1.28,1.28,15571901
AAPL,2005/06/14,1.28,1.29,1.28,1.29,12612070
AAPL,2005/06/15,1.32,1.33,1.3,1.33,20241382
AAPL,2005/06/16,1.33,1.36,1.32,1.36,19797992
AAPL,2005/06/17,1.37,1.38,1.35,1.37,21479112
AAPL,2005/06/20,1.35,1.36,1.34,1.34,11618279
AAPL,2005/06/21,1.35,1.36,1.34,1.35,13256117
AAPL,2005/06/22,1.37,1.38,1.36,1.38,15346893
AAPL,2005/06/23,1.39,1.42,1.38,1.39,24097384
AAPL,2005/06/24,1.4,1.4,1.35,1.35,16506404
AAPL,2005/06/27,1.32,1.36,1.31,1.33,21489972
AAPL,2005/06/28,1.34,1.34,1.33,1.33,12558296
AAPL,2005/06/29,1.33,1.33,1.29,1.3,16243383
AAPL,2005/06/30,1.31,1.33,1.3,1.31,14942855
AAPL,2005/07/01,1.32,1.32,1.3,1.3,8958138
AAPL,2005/07/05,1.31,1.36,1.3,1.36,16279061
AAPL,2005/07/06,1.35,1.36,1.33,1.34,14262019
AAPL,2005/07/07,1.31,1.35,1.31,1.34,13726918
AAPL,2005/07/08,1.35,1.37,1.34,1.37,10389757
AAPL,2005/07/11,1.37,1.38,1.35,1.36,14143099
AAPL,2005/07/12,1.37,1.37,1.35,1.37,13875222
AAPL,2005/07/13,1.37,1.38,1.35,1.37,28154770
AAPL,2005/07/14,1.46,1.46,1.46,1.46,800
AAPL,2005/07/15,1.46,1.48,1.45,1.48,24580334
AAPL,2005/07/18,1.49,1.5,1.48,1.48,20993500
AAPL,2005/07/19,1.47,1.54,1.47,1.54,24018412
AAPL,2005/07/20,1.53,1.56,1.52,1.56,16287501
AAPL,2005/07/21,1.56,1.57,1.53,1.55,14490568
AAPL,2005/07/22,1.55,1.57,1.55,1.57,10779774
AAPL,2005/07/25,1.57,1.58,1.56,1.56,10547273
AAPL,2005/07/26,1.57,1.58,1.55,1.56,9635024
AAPL,2005/07/27,1.57,1.57,1.52,1.57,10137253
AAPL,2005/07/28,1.57,1.57,1.55,1.56,9102490
AAPL,2005/07/29,1.56,1.59,1.51,1.52,20133852
AAPL,2005/08/01,1.52,1.54,1.5,1.53,11285658
AAPL,2005/08/02,1.53,1.55,1.52,1.54,10627690
AAPL,2005/08/03,1.54,1.55,1.53,1.54,9347922
AAPL,2005/08/04,1.53,1.54,1.51,1.53,9882335
AAPL,2005/08/05,1.52,1.55,1.5,1.54,8660126
AAPL,2005/08/08,1.54,1.54,1.52,1.52,6321863
AAPL,2005/08/09,1.53,1.57,1.53,1.57,13846441
AAPL,2005/08/10,1.57,1.59,1.55,1.55,13014746
AAPL,2005/08/11,1.55,1.58,1.54,1.57,9737299
AAPL,2005/08/12,1.55,1.65,1.55,1.65,33345086
AAPL,2005/08/15,1.67,1.73,1.66,1.7,38817176
AAPL,2005/08/16,1.69,1.7,1.65,1.65,19246360
AAPL,2005/08/17,1.66,1.69,1.66,1.68,18124252
AAPL,2005/08/18,1.67,1.68,1.63,1.65,15806657
AAPL,2005/08/19,1.65,1.67,1.63,1.64,13642150
AAPL,2005/08/22,1.65,1.67,1.62,1.64,13863636
AAPL,2005/08/23,1.64,1.65,1.62,1.63,10560263
AAPL,2005/08/24,1.63,1.68,1.63,1.63,20434740
AAPL,2005/08/25,1.65,1.66,1.64,1.65,9867375
AAPL,2005/08/26,1.65,1.66,1.62,1.63,9326980
AAPL,2005/08/29,1.62,1.64,1.62,1.64,9156935
AAPL,2005/08/30,1.64,1.67,1.64,1.66,18537764
AAPL,2005/08/31,1.67,1.68,1.65,1.67,14392762
AAPL,2005/09/01,1.68,1.68,1.65,1.65,12728749
AAPL,2005/09/02,1.65,1.67,1.65,1.65,7942284
AAPL,2005/09/06,1.67,1.75,1.66,1.74,29241546
AAPL,2005/09/07,1.75,1.76,1.71,1.74,34406036
AAPL,2005/09/08,1.76,1.79,1.76,1.78,25097020
AAPL,2005/09/09,1.79,1.83,1.78,1.83,21998810
AAPL,2005/09/12,1.83,1.84,1.81,1.84,16186324
AAPL,2005/09/13,1.82,1.83,1.8,1.82,17605304
AAPL,2005/09/14,1.82,1.83,1.77,1.77,16951232
AAPL,2005/09/15,1.79,1.79,1.76,1.78,14828531
AAPL,2005/09/16,1.79,1.83,1.78,1.83,21240708
AAPL,2005/09/19,1.82,1.89,1.82,1.88,27992418
AAPL,2005/09/20,1.89,1.92,1.89,1.9,29303728
AAPL,2005/09/21,1.89,1.89,1.85,1.86,15527472
AAPL,2005/09/22,1.85,1.87,1.83,1.85,16572740
AAPL,2005/09/23,1.86,1.91,1.85,1.9,19946632
AAPL,2005/09/26,1.93,1.95,1.9,1.92,19522180
AAPL,2005/09/27,1.93,1.94,1.91,1.91,12206208
AAPL,2005/09/28,1.9,1.9,1.81,1.82,40238836
AAPL,2005/09/29,1.83,1.88,1.81,1.87,22757860
AAPL,2005/09/30,1.87,1.92,1.85,1.91,18994592
AAPL,2005/10/03,1.93,1.95,1.92,1.94,18160444
AAPL,2005/10/04,1.96,1.98,1.92,1.92,19339080
AAPL,2005/10/05,1.94,1.94,1.88,1.89,21818346
AAPL,2005/10/06,1.9,1.91,1.82,1.85,27083932
AAPL,2005/10/07,1.85,1.85,1.81,1.83,24220088
AAPL,2005/10/10,1.85,1.85,1.8,1.8,18136248
AAPL,2005/10/11,1.83,1.85,1.8,1.84,44614548
AAPL,2005/10/12,1.74,1.8,1.71,1.76,96376000
