appl_smonth,appl_sname,appl_oprice,appl_cprice,appl_svol,unem_rate
1985-01-01,APPL,0.13,0.13,6366416000,7.3
1985-02-01,APPL,0.13,0.11,4733388800,7.2
1985-03-01,APPL,0.11,0.10,4615587200,7.2
1985-04-01,APPL,0.10,0.09,2868028800,7.3
1985-05-01,APPL,0.09,0.08,4639129600,7.2
1985-06-01,APPL,0.08,0.08,5811388800,7.4
1985-07-01,APPL,0.08,0.07,2600595200,7.4
1985-08-01,APPL,0.07,0.07,1818745600,7.1
1985-09-01,APPL,0.07,0.07,1797196800,7.1
1985-10-01,APPL,0.07,0.08,3785913600,7.1
1985-11-01,APPL,0.08,0.09,2884672000,7.0
1985-12-01,APPL,0.09,0.10,3571209600,7.0
1986-01-01,APPL,0.10,0.10,6291801600,6.7
1986-02-01,APPL,0.10,0.11,3420860800,7.2
1986-03-01,APPL,0.11,0.13,4264332800,7.2
1986-04-01,APPL,0.13,0.14,4462684800,7.1
1986-05-01,APPL,0.14,0.17,4954051200,7.2
1986-06-01,APPL,0.17,0.16,4063360000,7.2
1986-07-01,APPL,0.16,0.14,5691638400,7.0
1986-08-01,APPL,0.14,0.17,3643516800,6.9
1986-09-01,APPL,0.17,0.15,3578198400,7.0
1986-10-01,APPL,0.15,0.15,2984038400,7.0
1986-11-01,APPL,0.16,0.18,5206163200,6.9
1986-12-01,APPL,0.18,0.18,4762576000,6.6
1987-01-01,APPL,0.18,0.25,8268915200,6.6
1987-02-01,APPL,0.25,0.31,6616176000,6.6
1987-03-01,APPL,0.31,0.29,5959318400,6.6
1987-04-01,APPL,0.28,0.35,6813161600,6.3
1987-05-01,APPL,0.35,0.35,3838956800,6.3
1987-06-01,APPL,0.35,0.36,3497536000,6.2
1987-07-01,APPL,0.36,0.37,3070256000,6.1
1987-08-01,APPL,0.37,0.48,3119300800,6.0
1987-09-01,APPL,0.49,0.50,3075486400,5.9
1987-10-01,APPL,0.51,0.34,6575699200,6.0
1987-11-01,APPL,0.35,0.29,4234238400,5.8
1987-12-01,APPL,0.30,0.38,4702264000,5.7
1988-01-01,APPL,0.38,0.37,6221600000,5.7
1988-02-01,APPL,0.37,0.38,3368467200,5.7
1988-03-01,APPL,0.39,0.36,4882102400,5.7
1988-04-01,APPL,0.35,0.37,3297929600,5.4
1988-05-01,APPL,0.36,0.37,2638507200,5.6
1988-06-01,APPL,0.37,0.41,3534731200,5.4
1988-07-01,APPL,0.42,0.40,2186419200,5.4
1988-08-01,APPL,0.40,0.36,2653313600,5.6
1988-09-01,APPL,0.35,0.39,3060321600,5.4
1988-10-01,APPL,0.38,0.34,3563649600,5.4
1988-11-01,APPL,0.34,0.34,2939865600,5.3
1988-12-01,APPL,0.34,0.36,2946070400,5.3
1989-01-01,APPL,0.36,0.34,7345833600,5.4
1989-02-01,APPL,0.34,0.32,4886268800,5.2
1989-03-01,APPL,0.32,0.32,3859676800,5.0
1989-04-01,APPL,0.32,0.35,3966424000,5.2
1989-05-01,APPL,0.34,0.43,5253382400,5.2
1989-06-01,APPL,0.43,0.37,3941280000,5.3
1989-07-01,APPL,0.37,0.35,3688630400,5.2
1989-08-01,APPL,0.35,0.40,3352305600,5.2
1989-09-01,APPL,0.40,0.40,2020849600,5.3
1989-10-01,APPL,0.40,0.42,4125049600,5.3
1989-11-01,APPL,0.41,0.40,2524939200,5.4
1989-12-01,APPL,0.40,0.31,5941185600,5.4
1990-01-01,APPL,0.31,0.30,3747497600,5.4
1990-02-01,APPL,0.31,0.30,2483891200,5.3
1990-03-01,APPL,0.30,0.36,4556473600,5.2
1990-04-01,APPL,0.36,0.35,3642475200,5.4
1990-05-01,APPL,0.35,0.37,4115630400,5.4
1990-06-01,APPL,0.37,0.40,3952054400,5.2
1990-07-01,APPL,0.40,0.38,4163812800,5.5
1990-08-01,APPL,0.38,0.33,3128339200,5.7
1990-09-01,APPL,0.33,0.26,2206948800,5.9
1990-10-01,APPL,0.26,0.27,5056116800,5.9
1990-11-01,APPL,0.27,0.33,3254608000,6.2
