googl_smonth,googl_sname,googl_oprice,googl_cprice,googl_svol,unem_rate
2004-08-01,GOOGL,2.50,2.56,2672137188,5.4
2004-09-01,GOOGL,2.57,3.24,4249913832,5.4
2004-10-01,GOOGL,3.27,4.77,10272433284,5.5
2004-11-01,GOOGL,4.84,4.55,11092660236,5.4
2004-12-01,GOOGL,4.55,4.82,5807878308,5.4
2005-01-01,GOOGL,4.94,4.90,8198389404,5.3
2005-02-01,GOOGL,4.86,4.70,13011367608,5.4
2005-03-01,GOOGL,4.74,4.52,6871082040,5.2
2005-04-01,GOOGL,4.55,5.51,9058576356,5.2
2005-05-01,GOOGL,5.56,6.94,10140601248,5.1
2005-06-01,GOOGL,7.09,7.36,15544507932,5.0
2005-07-01,GOOGL,7.38,7.20,8189766036,5.0
2005-08-01,GOOGL,7.21,7.16,5713157124,4.9
2005-09-01,GOOGL,7.15,7.92,6799321872,5.0
2005-10-01,GOOGL,7.85,9.31,7710781500,5.0
2005-11-01,GOOGL,9.31,10.13,8458177356,5.0
2005-12-01,GOOGL,10.24,10.38,7943316732,4.9
2006-01-01,GOOGL,10.57,10.83,11949642396,4.7
2006-02-01,GOOGL,9.74,9.07,11889099000,4.8
2006-03-01,GOOGL,9.22,9.76,12258289440,4.7
2006-04-01,GOOGL,9.75,10.46,7405167420,4.7
2006-05-01,GOOGL,10.47,9.30,7030554408,4.6
2006-06-01,GOOGL,9.35,10.49,5689528776,4.6
2006-07-01,GOOGL,10.51,9.67,5095775124,4.7
2006-08-01,GOOGL,9.64,9.47,4274601120,4.7
2006-09-01,GOOGL,9.53,10.06,4857193944,4.5
2006-10-01,GOOGL,10.06,11.92,6334219440,4.4
2006-11-01,GOOGL,11.98,12.13,4732874388,4.5
2006-12-01,GOOGL,12.16,11.52,3662901432,4.4
2007-01-01,GOOGL,11.66,12.55,4978500516,4.6
2007-02-01,GOOGL,12.66,11.25,4552007436,4.5
2007-03-01,GOOGL,11.08,11.47,4719931344,4.4
2007-04-01,GOOGL,11.46,11.80,3714621660,4.5
2007-05-01,GOOGL,11.82,12.46,3979284732,4.4
2007-06-01,GOOGL,12.54,13.08,5156774064,4.6
2007-07-01,GOOGL,13.15,12.76,4660566768,4.7
2007-08-01,GOOGL,12.78,12.89,3544479972,4.6
2007-09-01,GOOGL,12.89,14.20,2773775448,4.7
2007-10-01,GOOGL,14.26,17.69,6211821960,4.7
2007-11-01,GOOGL,17.59,17.34,6852148992,4.7
2007-12-01,GOOGL,17.29,17.30,3409151436,5.0
2008-01-01,GOOGL,17.34,14.12,6305264424,5.0
2008-02-01,GOOGL,13.23,11.79,7080332580,4.9
2008-03-01,GOOGL,11.80,11.02,5818795380,5.1
2008-04-01,GOOGL,11.20,14.37,5716066212,5.0
2008-05-01,GOOGL,14.47,14.66,4181126688,5.4
2008-06-01,GOOGL,14.58,13.17,3747632616,5.6
2008-07-01,GOOGL,13.00,11.86,4159276560,5.8
2008-08-01,GOOGL,11.82,11.59,2749823424,6.1
2008-09-01,GOOGL,11.93,10.02,5357776860,6.1
2008-10-01,GOOGL,10.29,8.99,7963852176,6.5
2008-11-01,GOOGL,8.95,7.33,6314998680,6.8
2008-12-01,GOOGL,7.17,7.70,4515775704,7.3
2009-01-01,GOOGL,7.72,8.47,4390872732,7.8
2009-02-01,GOOGL,8.37,8.46,4458948588,8.3
2009-03-01,GOOGL,8.34,8.71,4554452988,8.7
