ticker,smonth,oprice,cprice,svol
NVDA,1999-01-01,0.04,0.04,4284288000
NVDA,1999-02-01,0.04,0.05,3146592000
NVDA,1999-03-01,0.05,0.04,2014512000
NVDA,1999-04-01,0.04,0.04,1767024000
NVDA,1999-05-01,0.04,0.04,2482512000
NVDA,1999-06-01,0.04,0.04,2366160000
NVDA,1999-07-01,0.04,0.04,3764064000
NVDA,1999-08-01,0.04,0.06,7894800000
NVDA,1999-09-01,0.06,0.04,6992640000
NVDA,1999-10-01,0.04,0.05,7953504000
NVDA,1999-11-01,0.05,0.07,13917936000
NVDA,1999-12-01,0.07,0.1,4917552000
NVDA,2000-01-01,0.1,0.08,4941456000
NVDA,2000-02-01,0.08,0.13,9160848000
NVDA,2000-03-01,0.13,0.18,17552160000
NVDA,2000-04-01,0.17,0.19,6481728000
NVDA,2000-05-01,0.19,0.24,8695584000
NVDA,2000-06-01,0.24,0.26,13271304000
NVDA,2000-07-01,0.27,0.25,7280352000
NVDA,2000-08-01,0.25,0.33,6079248000
NVDA,2000-09-01,0.34,0.34,5868576000
NVDA,2000-10-01,0.35,0.26,8841576000
NVDA,2000-11-01,0.25,0.17,8675472000
NVDA,2000-12-01,0.18,0.14,14453208000
NVDA,2001-01-01,0.14,0.22,10728648000
NVDA,2001-02-01,0.22,0.19,11644824000
NVDA,2001-03-01,0.18,0.27,28940472000
NVDA,2001-04-01,0.27,0.35,31102920000
NVDA,2001-05-01,0.35,0.36,28041600000
NVDA,2001-06-01,0.36,0.39,20156760000
NVDA,2001-07-01,0.37,0.34,21604512000
NVDA,2001-08-01,0.34,0.35,29863464000
NVDA,2001-09-01,0.35,0.23,21169188000
NVDA,2001-10-01,0.23,0.36,26377200000
NVDA,2001-11-01,0.36,0.46,28734600000
NVDA,2001-12-01,0.45,0.56,17648640000
NVDA,2002-01-01,0.56,0.55,23589180000
NVDA,2002-02-01,0.55,0.43,30995268000
NVDA,2002-03-01,0.43,0.37,27269724000
NVDA,2002-04-01,0.35,0.29,32098620000
NVDA,2002-05-01,0.29,0.28,27800688000
NVDA,2002-06-01,0.27,0.14,28839096000
NVDA,2002-07-01,0.14,0.09,32480220000
NVDA,2002-08-01,0.09,0.08,24041412000
NVDA,2002-09-01,0.08,0.07,17827740000
NVDA,2002-10-01,0.07,0.1,18364572000
NVDA,2002-11-01,0.1,0.14,34187196000
NVDA,2002-12-01,0.15,0.1,21906672000
NVDA,2003-01-01,0.1,0.09,23529132000
NVDA,2003-02-01,0.09,0.11,21243756000
NVDA,2003-03-01,0.11,0.11,18003156000
NVDA,2003-04-01,0.11,0.12,12578136000
NVDA,2003-05-01,0.12,0.22,37281804000
NVDA,2003-06-01,0.22,0.19,23196180000
NVDA,2003-07-01,0.19,0.16,19904292000
NVDA,2003-08-01,0.16,0.15,21743736000
NVDA,2003-09-01,0.15,0.13,23588952000
NVDA,2003-10-01,0.13,0.15,13788444000
NVDA,2003-11-01,0.15,0.18,17760924000
NVDA,2003-12-01,0.18,0.19,12347688000
NVDA,2004-01-01,0.2,0.19,12401580000
NVDA,2004-02-01,0.19,0.19,11862804000
NVDA,2004-03-01,0.18,0.22,13192248000
NVDA,2004-04-01,0.22,0.17,12362592000
NVDA,2004-05-01,0.17,0.2,10290336000
NVDA,2004-06-01,0.19,0.17,9524892000
NVDA,2004-07-01,0.17,0.13,11743992000
NVDA,2004-08-01,0.13,0.1,22610472000
NVDA,2004-09-01,0.1,0.12,15624108000
NVDA,2004-10-01,0.12,0.12,16351632000
NVDA,2004-11-01,0.12,0.16,18380604000
NVDA,2004-12-01,0.16,0.2,17652936000
NVDA,2005-01-01,0.2,0.19,13718760000
NVDA,2005-02-01,0.19,0.24,17263920000
NVDA,2005-03-01,0.24,0.2,15128592000
NVDA,2005-04-01,0.2,0.18,9788556000
NVDA,2005-05-01,0.18,0.23,14199696000
NVDA,2005-06-01,0.22,0.22,16206264000
NVDA,2005-07-01,0.22,0.23,13622904000
NVDA,2005-08-01,0.23,0.26,14333544000
NVDA,2005-09-01,0.25,0.29,11099136000
NVDA,2005-10-01,0.29,0.28,9381960000
NVDA,2005-11-01,0.28,0.3,13110036000
NVDA,2005-12-01,0.3,0.3,7663404000
NVDA,2006-01-01,0.31,0.37,9519288000
NVDA,2006-02-01,0.37,0.39,11871252000
NVDA,2006-03-01,0.39,0.48,15777384000
NVDA,2006-04-01,0.48,0.49,13351836000
NVDA,2006-05-01,0.49,0.38,14381178000
NVDA,2006-06-01,0.39,0.35,12274956000
NVDA,2006-07-01,0.36,0.37,12104742000
NVDA,2006-08-01,0.36,0.49,16247604000
NVDA,2006-09-01,0.48,0.49,11497302000
NVDA,2006-10-01,0.49,0.58,13568772000
NVDA,2006-11-01,0.57,0.62,13455474000
NVDA,2006-12-01,0.61,0.62,10008768000
NVDA,2007-01-01,0.62,0.51,17067402000
NVDA,2007-02-01,0.51,0.52,13470912000
NVDA,2007-03-01,0.51,0.48,14723250000
NVDA,2007-04-01,0.48,0.55,13520172000
NVDA,2007-05-01,0.56,0.58,12620946000
NVDA,2007-06-01,0.58,0.69,14460498000
NVDA,2007-07-01,0.7,0.76,10421874000
NVDA,2007-08-01,0.75,0.85,15690222000
NVDA,2007-09-01,0.86,0.91,9779846000
NVDA,2007-10-01,0.91,0.88,10668964000
NVDA,2007-11-01,0.87,0.79,12056668000
NVDA,2007-12-01,0.8,0.85,7581432000
NVDA,2008-01-01,0.85,0.61,15496232000
NVDA,2008-02-01,0.61,0.53,13630144000
NVDA,2008-03-01,0.53,0.49,15935928000
NVDA,2008-04-01,0.51,0.51,16624308000
NVDA,2008-05-01,0.52,0.62,20393652000
NVDA,2008-06-01,0.62,0.47,17163856000
NVDA,2008-07-01,0.46,0.29,22761908000
NVDA,2008-08-01,0.28,0.32,18645488000
NVDA,2008-09-01,0.32,0.27,19722456000
NVDA,2008-10-01,0.26,0.22,20444772000
