nvda_smonth,nvda_sname,nvda_oprice,nvda_cprice,nvda_svol,unem_rate
1999-01-01,NVDA,0.04,0.04,4284288000,4.3
1999-02-01,NVDA,0.04,0.05,3146592000,4.4
1999-03-01,NVDA,0.05,0.04,2014512000,4.2
1999-04-01,NVDA,0.04,0.04,1767024000,4.3
1999-05-01,NVDA,0.04,0.04,2482512000,4.2
1999-06-01,NVDA,0.04,0.04,2366160000,4.3
1999-07-01,NVDA,0.04,0.04,3764064000,4.3
1999-08-01,NVDA,0.04,0.06,7894800000,4.2
1999-09-01,NVDA,0.06,0.04,6992640000,4.2
1999-10-01,NVDA,0.04,0.05,7953504000,4.1
1999-11-01,NVDA,0.05,0.07,13917936000,4.1
1999-12-01,NVDA,0.07,0.1,4917552000,4
2000-01-01,NVDA,0.1,0.08,4941456000,4
2000-02-01,NVDA,0.08,0.13,9160848000,4.1
2000-03-01,NVDA,0.13,0.18,17552160000,4
2000-04-01,NVDA,0.17,0.19,6481728000,3.8
2000-05-01,NVDA,0.19,0.24,8695584000,4
2000-06-01,NVDA,0.24,0.26,13271304000,4
2000-07-01,NVDA,0.27,0.25,7280352000,4
2000-08-01,NVDA,0.25,0.33,6079248000,4.1
2000-09-01,NVDA,0.34,0.34,5868576000,3.9
2000-10-01,NVDA,0.35,0.26,8841576000,3.9
2000-11-01,NVDA,0.25,0.17,8675472000,3.9
2000-12-01,NVDA,0.18,0.14,14453208000,3.9
2001-01-01,NVDA,0.14,0.22,10728648000,4.2
2001-02-01,NVDA,0.22,0.19,11644824000,4.2
2001-03-01,NVDA,0.18,0.27,28940472000,4.3
2001-04-01,NVDA,0.27,0.35,31102920000,4.4
2001-05-01,NVDA,0.35,0.36,28041600000,4.3
2001-06-01,NVDA,0.36,0.39,20156760000,4.5
2001-07-01,NVDA,0.37,0.34,21604512000,4.6
2001-08-01,NVDA,0.34,0.35,29863464000,4.9
2001-09-01,NVDA,0.35,0.23,21169188000,5
2001-10-01,NVDA,0.23,0.36,26377200000,5.3
2001-11-01,NVDA,0.36,0.46,28734600000,5.5
2001-12-01,NVDA,0.45,0.56,17648640000,5.7
2002-01-01,NVDA,0.56,0.55,23589180000,5.7
2002-02-01,NVDA,0.55,0.43,30995268000,5.7
2002-03-01,NVDA,0.43,0.37,27269724000,5.7
2002-04-01,NVDA,0.35,0.29,32098620000,5.9
2002-05-01,NVDA,0.29,0.28,27800688000,5.8
2002-06-01,NVDA,0.27,0.14,28839096000,5.8
2002-07-01,NVDA,0.14,0.09,32480220000,5.8
2002-08-01,NVDA,0.09,0.08,24041412000,5.7
2002-09-01,NVDA,0.08,0.07,17827740000,5.7
2002-10-01,NVDA,0.07,0.1,18364572000,5.7
2002-11-01,NVDA,0.1,0.14,34187196000,5.9
2002-12-01,NVDA,0.15,0.1,21906672000,6
2003-01-01,NVDA,0.1,0.09,23529132000,5.8
2003-02-01,NVDA,0.09,0.11,21243756000,5.9
2003-03-01,NVDA,0.11,0.11,18003156000,5.9
2003-04-01,NVDA,0.11,0.12,12578136000,6
2003-05-01,NVDA,0.12,0.22,37281804000,6.1
2003-06-01,NVDA,0.22,0.19,23196180000,6.3
2003-07-01,NVDA,0.19,0.16,19904292000,6.2
2003-08-01,NVDA,0.16,0.15,21743736000,6.1
2003-09-01,NVDA,0.15,0.13,23588952000,6.1
2003-10-01,NVDA,0.13,0.15,13788444000,6
