event_day,AAR,CAAR
-5,0.003900135569146082,0.003900135569146082
-4,-0.0035752601152989117,0.0003248754538471704
-3,-0.001100242548758522,-0.0007753670949113517
-2,-0.005832920664257489,-0.0066082877591688415
-1,-0.004205832413025584,-0.010814120172194425
0,-7.911989813032904e-06,-0.010822032162007458
1,0.0014230915624100706,-0.009398940599597387
2,0.0019345851904664587,-0.0074643554091309286
3,0.0016795836242228062,-0.005784771784908122
4,-6.616765804138633e-05,-0.005850939442949508
5,0.008669945997544995,0.0028190065545954865
