ticker,date,open,high,low,close,volume
AAPL,2020/01/02,74.06,75.15,73.8,75.09,33911864
AAPL,2020/01/03,74.29,75.15,74.13,74.36,36633878
AAPL,2020/01/06,73.45,74.99,73.19,74.95,29644644
AAPL,2020/01/07,74.96,75.22,74.37,74.6,27877655
AAPL,2020/01/08,74.29,76.11,74.29,75.8,33090946
AAPL,2020/01/09,76.81,77.61,76.55,77.41,42621542
AAPL,2020/01/10,77.65,78.17,77.06,77.58,35217272
AAPL,2020/01/13,77.91,79.27,77.79,79.24,30521722
AAPL,2020/01/14,79.18,79.39,78.04,78.17,40653457
AAPL,2020/01/15,77.96,78.88,77.39,77.83,30480882
AAPL,2020/01/16,78.4,78.93,78.02,78.81,27207254
AAPL,2020/01/17,79.07,79.69,78.75,79.68,34454117
AAPL,2020/01/21,79.3,79.76,79,79.14,27710814
AAPL,2020/01/22,79.65,80,79.33,79.43,25458115
AAPL,2020/01/23,79.48,79.89,78.91,79.81,26117993
AAPL,2020/01/24,80.06,80.83,79.38,79.58,36634380
AAPL,2020/01/27,77.52,77.94,76.22,77.24,40485005
AAPL,2020/01/28,78.15,79.6,78.05,79.42,40558486
AAPL,2020/01/29,81.11,81.96,80.35,81.08,54149928
AAPL,2020/01/30,80.14,81.02,79.69,80.97,31685808
AAPL,2020/01/31,80.23,80.67,77.07,77.38,49897096
AAPL,2020/02/03,76.08,78.37,75.56,77.17,43496401
AAPL,2020/02/04,78.83,79.91,78.41,79.71,34154134
AAPL,2020/02/05,80.88,81.19,79.74,80.36,29706718
AAPL,2020/02/06,80.64,81.31,80.07,81.3,26356385
AAPL,2020/02/07,80.59,80.85,79.5,80.01,29421012
AAPL,2020/02/10,78.55,80.39,78.46,80.39,27337215
AAPL,2020/02/11,80.9,80.97,79.68,79.9,23580780
AAPL,2020/02/12,80.37,81.81,80.37,81.8,28432573
AAPL,2020/02/13,81.05,81.56,80.84,81.22,23686892
AAPL,2020/02/14,81.19,81.5,80.71,81.24,20028447
AAPL,2020/02/18,78.84,79.94,78.65,79.75,38190545
AAPL,2020/02/19,80,81.14,80,80.91,23495991
AAPL,2020/02/20,80.66,81.16,79.55,80.08,25141489
AAPL,2020/02/21,79.66,80.11,77.63,78.26,32426415
AAPL,2020/02/24,74.32,76.05,72.31,74.55,55548828
AAPL,2020/02/25,75.24,75.63,71.53,72.02,57668364
AAPL,2020/02/26,71.63,74.47,71.63,73.16,49678431
AAPL,2020/02/27,70.28,71.5,68.24,68.38,80151381
AAPL,2020/02/28,64.32,69.6,64.09,68.34,106721230
AAPL,2020/03/02,70.57,75.36,69.43,74.7,85349339
AAPL,2020/03/03,75.92,76,71.45,72.33,79868852
AAPL,2020/03/04,74.11,75.85,73.28,75.69,54794568
AAPL,2020/03/05,73.88,74.89,72.85,73.23,46893219
AAPL,2020/03/06,70.5,72.71,70.31,72.26,56544246
AAPL,2020/03/09,65.94,69.52,65.75,66.54,71686208
AAPL,2020/03/10,69.29,71.61,67.34,71.33,71322520
AAPL,2020/03/11,69.35,70.31,67.97,68.86,64094970
AAPL,2020/03/12,63.99,67.5,62,62.06,104618517
AAPL,2020/03/13,66.22,69.98,63.24,69.49,92683032
AAPL,2020/03/16,60.49,64.77,60,60.55,80605865
AAPL,2020/03/17,61.88,64.4,59.6,63.22,81013965
AAPL,2020/03/18,59.94,62.5,59.28,61.67,75058406
AAPL,2020/03/19,61.85,63.21,60.65,61.2,67964255
AAPL,2020/03/20,61.8,62.96,57,57.31,100423346
AAPL,2020/03/23,57.02,57.12,53.15,56.09,84188208
AAPL,2020/03/24,59.09,61.92,58.58,61.72,71882773
AAPL,2020/03/25,62.69,64.56,61.08,61.38,75900510
AAPL,2020/03/26,61.63,64.67,61.59,64.61,63140169
AAPL,2020/03/27,63.19,63.97,61.76,61.94,51054153
AAPL,2020/03/30,62.69,63.88,62.35,63.7,41994110
AAPL,2020/03/31,63.9,65.62,63,63.57,49250501
AAPL,2020/04/01,61.63,62.18,59.78,60.23,44054638
AAPL,2020/04/02,60.09,61.29,59.23,61.23,41483493
AAPL,2020/04/03,60.7,61.43,59.74,60.35,32470017
AAPL,2020/04/06,62.73,65.78,62.35,65.62,50455071
AAPL,2020/04/07,67.7,67.93,64.75,64.86,50721831
AAPL,2020/04/08,65.69,66.84,65.31,66.52,42223821
AAPL,2020/04/09,67.18,67.52,66.18,67,40529123
AAPL,2020/04/13,67.08,68.43,66.46,68.31,32755731
AAPL,2020/04/14,70,72.06,69.51,71.76,48748672
AAPL,2020/04/15,70.6,71.58,70.16,71.11,32788641
AAPL,2020/04/16,71.85,72.05,70.59,71.67,39281290
AAPL,2020/04/17,71.17,71.74,69.22,70.7,53812478
AAPL,2020/04/20,69.49,70.42,69.21,69.23,32503750
AAPL,2020/04/21,69.07,69.31,66.36,67.09,45247893
AAPL,2020/04/22,68.4,69.47,68.05,69.03,29264342
AAPL,2020/04/23,68.97,70.44,68.72,68.76,31203582
AAPL,2020/04/24,69.3,70.75,69.25,70.74,31627183
AAPL,2020/04/27,70.45,71.14,69.99,70.79,29271893
AAPL,2020/04/28,71.27,71.46,69.55,69.65,28001187
AAPL,2020/04/29,71.18,72.42,70.97,71.93,34320204
AAPL,2020/04/30,72.49,73.63,72.09,73.45,45765968
AAPL,2020/05/01,71.56,74.75,71.46,72.27,60154175
AAPL,2020/05/04,72.29,73.42,71.58,73.29,33391986
AAPL,2020/05/05,73.77,75.25,73.61,74.39,36937795
AAPL,2020/05/06,75.11,75.81,74.72,75.16,35583438
AAPL,2020/05/07,75.81,76.29,75.49,75.94,28803764
AAPL,2020/05/08,76.41,77.59,76.07,77.53,33511985
AAPL,2020/05/11,77.03,79.26,76.81,78.75,36486561
AAPL,2020/05/12,79.46,79.92,77.73,77.85,40575263
AAPL,2020/05/13,78.04,78.99,75.8,76.91,50155639
AAPL,2020/05/14,76.13,77.45,75.38,77.39,39732269
AAPL,2020/05/15,75.09,76.97,75.05,76.93,41587094
AAPL,2020/05/18,78.29,79.13,77.58,78.74,33843125
AAPL,2020/05/19,78.76,79.63,78.25,78.29,25432385
AAPL,2020/05/20,79.17,79.88,79.05,79.81,27876215
AAPL,2020/05/21,79.67,80.22,78.97,79.21,25672211
AAPL,2020/05/22,78.94,79.81,78.84,79.72,20450754
AAPL,2020/05/26,80.88,81.06,79.13,79.18,31380454
AAPL,2020/05/27,79.04,79.68,78.27,79.53,28236274
AAPL,2020/05/28,79.19,80.86,78.91,79.56,33449103
AAPL,2020/05/29,79.81,80.29,79.12,79.49,38399532
AAPL,2020/06/01,79.44,80.59,79.3,80.46,20254653
AAPL,2020/06/02,80.19,80.86,79.73,80.83,21910704
AAPL,2020/06/03,81.17,81.55,80.58,81.28,26122804
AAPL,2020/06/04,81.1,81.41,80.19,80.58,21890091
AAPL,2020/06/05,80.84,82.94,80.81,82.88,34312550
AAPL,2020/06/08,82.56,83.4,81.83,83.37,23913634
AAPL,2020/06/09,83.04,86.4,83,86,36928091
AAPL,2020/06/10,86.98,88.69,86.52,88.21,41662938
AAPL,2020/06/11,87.33,87.77,83.87,83.98,50415613
AAPL,2020/06/12,86.18,86.95,83.56,84.7,50036513
AAPL,2020/06/15,83.31,86.42,83.15,85.75,34702230
AAPL,2020/06/16,87.87,88.3,86.18,88.02,41357182
AAPL,2020/06/17,88.79,88.85,87.77,87.9,28601626
AAPL,2020/06/18,87.85,88.36,87.31,87.93,24205096
AAPL,2020/06/19,88.66,89.14,86.29,87.43,66118952
AAPL,2020/06/22,87.84,89.87,87.79,89.72,33861316
AAPL,2020/06/23,91,93.1,90.57,91.63,53038869
AAPL,2020/06/24,91.25,92.2,89.63,90.02,48155849
AAPL,2020/06/25,90.18,91.25,89.39,91.21,34380628
AAPL,2020/06/26,91.1,91.33,88.26,88.41,51314211
AAPL,2020/06/29,88.31,90.54,87.82,90.45,32661519
AAPL,2020/06/30,90.02,91.5,90,91.2,35055821
AAPL,2020/07/01,91.28,91.84,90.98,91.03,27684309
AAPL,2020/07/02,91.96,92.62,90.91,91.03,28510367
AAPL,2020/07/06,92.5,93.95,92.47,93.46,29663913
AAPL,2020/07/07,93.85,94.66,93.06,93.17,28106114
AAPL,2020/07/08,94.18,95.38,94.09,95.34,29272970
AAPL,2020/07/09,96.26,96.32,94.67,95.68,31410652
AAPL,2020/07/10,95.34,95.98,94.71,95.92,22564330
AAPL,2020/07/13,97.27,99.96,95.26,95.48,47912285
AAPL,2020/07/14,94.84,97.26,93.88,97.06,42747341
AAPL,2020/07/15,98.99,99.25,96.49,97.73,38299483
AAPL,2020/07/16,96.56,97.41,95.91,96.52,27644418
AAPL,2020/07/17,96.99,97.15,95.84,96.33,23046725
AAPL,2020/07/20,96.42,98.5,96.06,98.36,22579477
AAPL,2020/07/21,99.17,99.25,96.74,97,25911459
AAPL,2020/07/22,96.69,97.98,96.6,97.27,22250413
AAPL,2020/07/23,97,97.08,92.01,92.85,49251108
AAPL,2020/07/24,90.99,92.97,89.15,92.62,46359716
AAPL,2020/07/27,93.71,94.91,93.48,94.81,30303548
AAPL,2020/07/28,94.37,94.55,93.25,93.25,25906375
AAPL,2020/07/29,93.75,95.23,93.71,95.04,22582314
AAPL,2020/07/30,94.19,96.3,93.77,96.19,39532505
AAPL,2020/07/31,102.88,106.42,100.83,106.26,93573867
AAPL,2020/08/03,108.2,111.64,107.89,108.94,77037847
AAPL,2020/08/04,109.13,110.79,108.39,109.67,43198092
AAPL,2020/08/05,109.38,110.39,108.9,110.06,30497988
AAPL,2020/08/06,110.41,114.41,109.8,113.9,50607225
AAPL,2020/08/07,113.21,113.68,110.29,111.11,49511403
AAPL,2020/08/10,112.6,113.78,110,112.73,53100856
AAPL,2020/08/11,111.97,112.48,109.11,109.38,46975594
AAPL,2020/08/12,110.5,113.28,110.3,113.01,41486205
AAPL,2020/08/13,114.43,116.04,113.93,115.01,52520516
AAPL,2020/08/14,114.83,115,113.05,114.91,41391302
AAPL,2020/08/17,116.06,116.09,113.96,114.61,29890361
AAPL,2020/08/18,114.35,116,114.01,115.56,26408385
AAPL,2020/08/19,115.98,117.16,115.61,115.71,36384502
AAPL,2020/08/20,115.75,118.39,115.73,118.28,31726797
AAPL,2020/08/21,119.26,124.87,119.25,124.37,84513660
AAPL,2020/08/24,128.7,128.79,123.94,125.86,86484442
AAPL,2020/08/25,124.7,125.18,123.05,124.83,52873947
AAPL,2020/08/26,126.18,126.99,125.08,126.52,40755567
AAPL,2020/08/27,127.14,127.49,123.83,125.01,38888096
AAPL,2020/08/28,126.01,126.44,124.58,124.81,46907479
AAPL,2020/08/31,127.58,131,126,129.04,225702688
AAPL,2020/09/01,132.76,134.8,130.53,134.18,152470142
AAPL,2020/09/02,137.59,137.98,127,131.4,200118991
AAPL,2020/09/03,126.91,128.84,120.5,120.88,257599640
AAPL,2020/09/04,120.07,123.7,110.89,120.96,332607163
AAPL,2020/09/08,113.95,118.99,112.68,112.82,231366563
AAPL,2020/09/09,117.26,119.14,115.26,117.32,176940455
AAPL,2020/09/10,120.36,120.5,112.5,113.49,182274391
AAPL,2020/09/11,114.57,115.23,110,112,180860325
AAPL,2020/09/14,114.72,115.93,112.8,115.36,140150087
AAPL,2020/09/15,118.33,118.83,113.61,115.54,184642039
AAPL,2020/09/16,115.23,116,112.04,112.13,155026675
AAPL,2020/09/17,109.72,112.2,108.71,110.34,178010968
AAPL,2020/09/18,110.4,110.88,106.09,106.84,287104882
AAPL,2020/09/21,104.54,110.19,103.1,110.08,195713815
AAPL,2020/09/22,112.68,112.86,109.16,111.81,183055373
AAPL,2020/09/23,111.62,112.11,106.77,107.12,150718671
AAPL,2020/09/24,105.17,110.25,105,108.22,167743349
AAPL,2020/09/25,108.43,112.44,107.67,112.28,149981441
AAPL,2020/09/28,115.01,115.32,112.78,114.96,137672403
AAPL,2020/09/29,114.55,115.31,113.57,114.09,100060526
AAPL,2020/09/30,113.79,117.26,113.62,115.81,142675184
AAPL,2020/10/01,117.64,117.72,115.83,116.79,116120440
AAPL,2020/10/02,112.89,115.37,112.22,113.02,144711986
AAPL,2020/10/05,113.91,116.65,113.55,116.5,106243839
AAPL,2020/10/06,115.7,116.12,112.25,113.16,161498212
AAPL,2020/10/07,114.62,115.55,114.13,115.08,96848985
AAPL,2020/10/08,116.25,116.4,114.59,114.97,83477153
AAPL,2020/10/09,115.28,117,114.92,116.97,100506865
AAPL,2020/10/12,120.06,125.18,119.28,124.4,240226769
AAPL,2020/10/13,125.27,125.39,119.65,121.1,262330451
AAPL,2020/10/14,121,123.03,119.62,121.19,151062308
AAPL,2020/10/15,118.72,121.2,118.15,120.71,112559219
AAPL,2020/10/16,121.28,121.55,118.81,119.02,115393808
AAPL,2020/10/19,119.96,120.42,115.66,115.98,120639337
AAPL,2020/10/20,116.2,118.98,115.63,117.51,124423728
AAPL,2020/10/21,116.67,118.71,116.45,116.87,89945980
AAPL,2020/10/22,117.45,118.04,114.59,115.75,101987954
AAPL,2020/10/23,116.39,116.55,114.28,115.04,82572645
AAPL,2020/10/26,114.01,116.55,112.88,115.05,111850657
AAPL,2020/10/27,115.49,117.28,114.54,116.6,92276772
AAPL,2020/10/28,115.05,115.43,111.1,111.2,143937823
AAPL,2020/10/29,112.37,116.93,112.2,115.32,146129173
AAPL,2020/10/30,111.06,111.99,107.72,108.86,190573476
AAPL,2020/11/02,109.11,110.68,107.32,108.77,122866899
AAPL,2020/11/03,109.66,111.49,108.73,110.44,107624448
AAPL,2020/11/04,114.14,115.59,112.35,114.95,138235482
AAPL,2020/11/05,117.95,119.62,116.87,119.03,126387074
AAPL,2020/11/06,118.32,119.2,116.13,118.69,114457922
AAPL,2020/11/09,120.5,121.99,116.05,116.32,154515315
AAPL,2020/11/10,115.55,117.59,114.13,115.97,138023390
AAPL,2020/11/11,117.19,119.63,116.44,119.49,112294954
AAPL,2020/11/12,119.62,120.53,118.57,119.21,103350674
AAPL,2020/11/13,119.44,119.67,117.87,119.26,81688586
AAPL,2020/11/16,118.92,120.99,118.15,120.3,91183018
AAPL,2020/11/17,119.55,120.67,118.96,119.39,74270973
AAPL,2020/11/18,118.61,119.82,118,118.03,76322111
AAPL,2020/11/19,117.59,119.06,116.81,118.64,74112972
AAPL,2020/11/20,118.64,118.77,117.29,117.34,73604287
AAPL,2020/11/23,117.18,117.62,113.75,113.85,127959318
AAPL,2020/11/24,113.91,115.85,112.59,115.17,113874218
AAPL,2020/11/25,115.55,116.75,115.17,116.03,76499234
AAPL,2020/11/27,116.57,117.49,116.22,116.59,46691331
AAPL,2020/11/30,116.97,120.97,116.81,119.05,169410176
AAPL,2020/12/01,121.01,123.47,120.01,122.72,128166803
AAPL,2020/12/02,122.02,123.37,120.89,123.08,89004195
AAPL,2020/12/03,123.52,123.78,122.21,122.94,78967630
AAPL,2020/12/04,122.6,122.86,121.52,122.25,78260421
AAPL,2020/12/07,122.31,124.57,122.25,123.75,86711990
AAPL,2020/12/08,124.37,124.98,123.09,124.38,82225512
AAPL,2020/12/09,124.53,125.95,121,121.78,115089193
AAPL,2020/12/10,120.5,123.87,120.15,123.24,81312170
AAPL,2020/12/11,122.43,122.76,120.55,122.41,86939786
AAPL,2020/12/14,122.6,123.35,121.54,121.78,79075988
AAPL,2020/12/15,124.34,127.9,124.13,127.88,157572262
AAPL,2020/12/16,127.41,128.37,126.56,127.81,98208591
AAPL,2020/12/17,128.9,129.58,128.04,128.7,94359811
AAPL,2020/12/18,128.96,129.1,126.12,126.66,192541496
AAPL,2020/12/21,125.02,128.31,123.45,128.23,121251553
AAPL,2020/12/22,131.61,134.41,129.65,131.88,169351825
AAPL,2020/12/23,132.16,132.43,130.78,130.96,88223692
AAPL,2020/12/24,131.32,133.46,131.1,131.97,54930064
AAPL,2020/12/28,133.99,137.34,133.51,136.69,124486237
AAPL,2020/12/29,138.05,138.79,134.34,134.87,121047324
AAPL,2020/12/30,135.58,135.99,133.4,133.72,96452124
AAPL,2020/12/31,134.08,134.74,131.72,132.69,99116586
AAPL,2021/01/04,133.52,133.61,126.76,129.41,143301887
AAPL,2021/01/05,128.89,131.74,128.43,131.01,97664898
AAPL,2021/01/06,127.72,131.05,126.38,126.6,155087970
AAPL,2021/01/07,128.36,131.63,127.86,130.92,109578157
AAPL,2021/01/08,132.43,132.63,130.23,132.05,105158245
AAPL,2021/01/11,129.19,130.17,128.5,128.98,100620880
AAPL,2021/01/12,128.5,129.69,126.86,128.8,91951145
AAPL,2021/01/13,128.76,131.45,128.49,130.89,88636831
