ticker,earnings_date
AAPL,2020/01/28
AAPL,2020/04/30
AAPL,2020/07/30
AAPL,2020/10/29
AAPL,2021/01/27
AAPL,2021/04/28
AAPL,2021/07/27
AAPL,2021/10/28
AAPL,2022/01/27
AAPL,2022/04/28
AAPL,2022/07/28
AAPL,2022/10/27
AAPL,2023/02/02
AAPL,2023/05/04
AAPL,2023/08/03
AAPL,2023/11/02
AAPL,2024/02/01
AAPL,2024/05/02
AAPL,2024/08/01
AAPL,2024/10/31
AAPL,2025/01/30
AAPL,2025/05/01
AAPL,2025/07/31
AAPL,2025/10/30
GOOGL,2020/02/03
GOOGL,2020/04/28
GOOGL,2020/07/30
GOOGL,2020/10/29
GOOGL,2021/02/02
GOOGL,2021/04/27
GOOGL,2021/07/27
GOOGL,2021/10/26
GOOGL,2022/02/01
GOOGL,2022/04/26
GOOGL,2022/07/26
GOOGL,2022/10/25
GOOGL,2023/02/02
GOOGL,2023/04/25
GOOGL,2023/07/25
GOOGL,2023/10/24
GOOGL,2024/01/30
GOOGL,2024/04/25
GOOGL,2024/07/23
GOOGL,2024/10/29
GOOGL,2025/02/04
GOOGL,2025/04/24
GOOGL,2025/07/23
GOOGL,2025/10/29
NVDA,2020/02/13
NVDA,2020/05/21
NVDA,2020/08/19
NVDA,2020/11/18
NVDA,2021/02/24
NVDA,2021/05/26
NVDA,2021/08/18
NVDA,2021/11/17
NVDA,2022/02/16
NVDA,2022/05/25
NVDA,2022/08/24
NVDA,2022/11/16
NVDA,2023/02/22
NVDA,2023/05/24
NVDA,2023/08/23
NVDA,2023/11/21
NVDA,2024/02/21
NVDA,2024/05/22
NVDA,2024/08/28
NVDA,2024/11/20
NVDA,2025/02/26
NVDA,2025/05/28
NVDA,2025/08/27
NVDA,2025/11/19
