ticker,earnings_date
AAPL,2005/01/12
AAPL,2005/04/13
AAPL,2005/07/13
AAPL,2005/10/11
AAPL,2006/01/18
AAPL,2006/04/19
AAPL,2006/07/19
AAPL,2006/10/18
AAPL,2007/01/17
AAPL,2007/04/25
AAPL,2007/07/25
AAPL,2007/10/22
AAPL,2008/01/22
AAPL,2008/04/23
AAPL,2008/07/21
AAPL,2008/10/21
AAPL,2009/01/21
AAPL,2009/04/22
AAPL,2009/07/21
AAPL,2009/10/19
AAPL,2010/01/25
AAPL,2010/04/20
AAPL,2010/07/20
AAPL,2010/10/18
AAPL,2011/01/18
AAPL,2011/04/20
AAPL,2011/07/19
AAPL,2011/10/18
AAPL,2012/01/24
AAPL,2012/04/24
AAPL,2012/07/24
AAPL,2012/10/25
AAPL,2013/01/23
AAPL,2013/04/23
AAPL,2013/07/23
AAPL,2013/10/28
AAPL,2014/01/27
AAPL,2014/04/23
AAPL,2014/07/22
AAPL,2014/10/20
AAPL,2015/01/27
AAPL,2015/04/27
AAPL,2015/07/21
AAPL,2015/10/27
AAPL,2016/01/26
AAPL,2016/04/26
AAPL,2016/07/26
AAPL,2016/10/25
AAPL,2017/01/31
AAPL,2017/05/02
AAPL,2017/08/01
AAPL,2017/11/02
AAPL,2018/02/01
AAPL,2018/05/01
AAPL,2018/07/31
AAPL,2018/11/01
AAPL,2019/01/29
AAPL,2019/04/30
AAPL,2019/07/30
AAPL,2019/10/30
AAPL,2020/01/28
AAPL,2020/04/30
AAPL,2020/07/30
AAPL,2020/10/29
AAPL,2021/01/27
AAPL,2021/04/28
AAPL,2021/07/27
AAPL,2021/10/28
AAPL,2022/01/27
AAPL,2022/04/28
AAPL,2022/07/28
AAPL,2022/10/27
AAPL,2023/02/02
AAPL,2023/05/04
AAPL,2023/08/03
AAPL,2023/11/02
AAPL,2024/02/01
AAPL,2024/05/02
AAPL,2024/08/01
AAPL,2024/10/31
AAPL,2025/01/30
AAPL,2025/05/01
AAPL,2025/07/31
AAPL,2025/10/30
GOOGL,2005/02/01
GOOGL,2005/04/21
GOOGL,2005/07/21
GOOGL,2005/10/20
GOOGL,2006/01/31
GOOGL,2006/04/20
GOOGL,2006/07/20
GOOGL,2006/10/19
GOOGL,2007/01/31
GOOGL,2007/04/19
GOOGL,2007/07/19
GOOGL,2007/10/18
GOOGL,2008/01/31
GOOGL,2008/04/17
GOOGL,2008/07/17
GOOGL,2008/10/16
GOOGL,2009/01/22
GOOGL,2009/04/16
GOOGL,2009/07/16
GOOGL,2009/10/15
GOOGL,2010/01/21
GOOGL,2010/04/15
GOOGL,2010/07/15
GOOGL,2010/10/14
GOOGL,2011/01/20
GOOGL,2011/04/14
GOOGL,2011/07/14
GOOGL,2011/10/13
GOOGL,2012/01/19
GOOGL,2012/04/12
GOOGL,2012/07/19
GOOGL,2012/10/18
GOOGL,2013/01/22
GOOGL,2013/04/18
GOOGL,2013/07/18
GOOGL,2013/10/17
GOOGL,2014/01/30
GOOGL,2014/04/16
GOOGL,2014/07/17
GOOGL,2014/10/16
GOOGL,2015/01/29
GOOGL,2015/04/23
GOOGL,2015/07/16
GOOGL,2015/10/22
GOOGL,2016/02/01
GOOGL,2016/04/21
GOOGL,2016/07/28
GOOGL,2016/10/27
GOOGL,2017/01/26
GOOGL,2017/04/27
GOOGL,2017/07/24
GOOGL,2017/10/26
GOOGL,2018/02/01
GOOGL,2018/04/23
GOOGL,2018/07/23
GOOGL,2018/10/25
GOOGL,2019/02/04
GOOGL,2019/04/29
GOOGL,2019/07/25
GOOGL,2019/10/28
GOOGL,2020/02/03
GOOGL,2020/04/28
GOOGL,2020/07/30
GOOGL,2020/10/29
GOOGL,2021/02/02
GOOGL,2021/04/27
GOOGL,2021/07/27
GOOGL,2021/10/26
GOOGL,2022/02/01
GOOGL,2022/04/26
GOOGL,2022/07/26
GOOGL,2022/10/25
GOOGL,2023/02/02
GOOGL,2023/04/25
GOOGL,2023/07/25
GOOGL,2023/10/24
GOOGL,2024/01/30
GOOGL,2024/04/25
GOOGL,2024/07/23
GOOGL,2024/10/29
GOOGL,2025/02/04
GOOGL,2025/04/24
GOOGL,2025/07/23
GOOGL,2025/10/29
NVDA,2005/02/17
NVDA,2005/05/12
NVDA,2005/08/11
NVDA,2005/11/09
NVDA,2006/02/16
NVDA,2006/05/11
NVDA,2006/08/10
NVDA,2006/11/09
NVDA,2007/02/13
NVDA,2007/05/10
NVDA,2007/08/09
NVDA,2007/11/08
NVDA,2008/02/13
NVDA,2008/05/08
NVDA,2008/08/12
NVDA,2008/11/06
NVDA,2009/02/10
NVDA,2009/05/07
NVDA,2009/08/06
NVDA,2009/11/05
NVDA,2010/02/17
NVDA,2010/05/13
NVDA,2010/08/12
NVDA,2010/11/11
NVDA,2011/02/16
NVDA,2011/05/12
NVDA,2011/08/11
NVDA,2011/11/10
NVDA,2012/02/15
NVDA,2012/05/11
NVDA,2012/08/09
NVDA,2012/11/08
NVDA,2013/02/13
NVDA,2013/05/09
NVDA,2013/08/08
NVDA,2013/11/07
NVDA,2014/02/12
NVDA,2014/05/06
NVDA,2014/08/07
NVDA,2014/11/06
NVDA,2015/02/11
NVDA,2015/05/07
NVDA,2015/08/06
NVDA,2015/11/05
NVDA,2016/02/17
NVDA,2016/05/12
NVDA,2016/08/11
NVDA,2016/11/10
NVDA,2017/02/09
NVDA,2017/05/09
NVDA,2017/08/10
NVDA,2017/11/09
NVDA,2018/02/08
NVDA,2018/05/10
NVDA,2018/08/16
NVDA,2018/11/15
NVDA,2019/02/14
NVDA,2019/05/16
NVDA,2019/08/15
NVDA,2019/11/14
NVDA,2020/02/13
NVDA,2020/05/21
NVDA,2020/08/19
NVDA,2020/11/18
NVDA,2021/02/24
NVDA,2021/05/26
NVDA,2021/08/18
NVDA,2021/11/17
NVDA,2022/02/16
NVDA,2022/05/25
NVDA,2022/08/24
NVDA,2022/11/16
NVDA,2023/02/22
NVDA,2023/05/24
NVDA,2023/08/23
NVDA,2023/11/21
NVDA,2024/02/21
NVDA,2024/05/22
NVDA,2024/08/28
NVDA,2024/11/20
NVDA,2025/02/26
NVDA,2025/05/28
